r,l,t,target_pose
794.391251,1001,253.290471,[337.35553419 994.03137203 -97.39697974]
793.560898,1001,506.755248,[335.90939999 986.12172901 -91.15151218]
785.360402,1001,760.200369,[ 333.11025094  986.60412899 -133.00728947]
796.363507,1001,1013.545204,[ 331.28687355  989.51420519 -156.86498216]
777.625495,1001,1267.018542,[ 330.13313282  993.49978147 -138.64402802]
