r,l,t,target_pose
-49.375718,1001,253.28449,[338.76736176 986.77814342  -7.25239491]
-32.472819,1001,506.663609,[333.85708535 989.85104292  93.7606003 ]
-91.951025,1001,760.029724,[331.89531163 989.29634658 120.12209661]
-90.957165,1001,1013.408646,[ 330.40752587  989.21564781 -120.37359433]
-136.50176,1001,1266.774223,[330.26104423 988.12689963 111.43583081]
