#{"t_start": 1743435940.105191, "env_id": "milliAmpere1ROS_env/MilliAmpere1ROS-v2"}
r,l,t,target_pose
709.379766,1001,344.920147,[333.40536893 992.37703681 -73.14998024]
758.063901,1001,689.582265,[332.60057931 989.14823601 -29.80050596]
