r,l,t,target_pose
629.865388,1001,253.304858,[  2.73956049  -0.6112156  129.09525117]
367.789116,1001,506.784972,[   1.52299263   -4.56224676 -172.78934873]
431.652094,1001,760.243767,[ -3.7743449   -2.41886925 -33.92253798]
499.352991,1001,1013.560432,[ 0.73130657  0.28491145 94.91408633]
825.046895,1001,1267.040172,[  4.05604277  -4.22773207 -81.87488787]
