r,l,t,target_pose
779.88948,1001,253.29805,[337.28772162 988.08360076 -25.61548781]
773.091519,1001,506.743496,[ 331.9771786   993.54587334 -113.50868264]
729.805226,1001,760.210379,[ 336.90542358  990.83733626 -166.66500872]
788.337403,1001,1013.552879,[ 331.46188163  989.24646842 -128.21908166]
776.170808,1001,1267.007565,[336.52776902 986.43275898  25.77489074]
