r,l,t,target_pose
433.872186,1001,253.295319,[  2.73956049  -0.6112156  129.09525117]
726.293269,1001,506.783999,[   1.52299263   -4.56224676 -172.78934873]
518.161894,1001,760.241131,[ -3.7743449   -2.41886925 -33.92253798]
608.834571,1001,1013.549961,[ 0.73130657  0.28491145 94.91408633]
798.323244,1001,1267.030762,[  4.05604277  -4.22773207 -81.87488787]
