r,l,t,target_pose
879.181046,1001,253.308837,[  2.73956049  -0.6112156  129.09525117]
794.693313,1001,506.576728,[   1.52299263   -4.56224676 -172.78934873]
872.531116,1001,759.82519,[ -3.7743449   -2.41886925 -33.92253798]
910.956556,1001,1013.080841,[ 0.73130657  0.28491145 94.91408633]
852.4718,1001,1266.333519,[  4.05604277  -4.22773207 -81.87488787]
