x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
-0.002092,-0.013634,-0.010853,0.002245,-0.016597,-0.001724,-0.075298,-0.106984,0.072050,-0.081261,0.303475,-0.271436,0.413337,-0.262419
-0.002276,-0.012259,-0.010623,0.002301,-0.016377,-0.001432,-0.040940,-0.134658,0.074088,-0.086265,0.358970,-0.292463,0.346238,-0.273351
-0.002480,-0.010656,-0.010446,0.002322,-0.017635,-0.001024,-0.049643,-0.113970,0.071806,-0.094616,0.340521,-0.357990,0.184489,-0.157737
-0.002702,-0.009290,-0.010453,0.002639,-0.016257,0.000046,-0.062498,-0.113567,0.095623,-0.132390,0.282791,-0.366228,0.220631,-0.141079
-0.002964,-0.007743,-0.010371,0.002911,-0.017017,-0.000472,-0.069390,-0.162031,0.120818,-0.159054,0.219329,-0.401811,0.325329,-0.171962
-0.003250,-0.006112,-0.010055,0.003492,-0.019447,-0.001979,-0.065915,-0.136490,0.089304,-0.164853,0.266050,-0.383342,0.322962,-0.214062
-0.003596,-0.004574,-0.009763,0.003869,-0.016938,-0.001684,-0.044863,-0.142917,0.072494,-0.169703,0.308989,-0.321747,0.349940,-0.272234
-0.003967,-0.003180,-0.009404,0.004473,-0.016643,-0.002242,-0.043458,-0.190459,0.074343,-0.162355,0.277105,-0.318820,0.297814,-0.215908
-0.004566,-0.001458,-0.008376,0.006691,-0.019054,-0.005932,-0.058979,-0.151037,0.055651,-0.168281,0.273625,-0.334813,0.233896,-0.167834
-0.005144,-0.000297,-0.007380,0.006935,-0.013992,-0.006227,-0.061270,-0.169946,0.056721,-0.192552,0.244405,-0.384332,0.321915,-0.210085
-0.005771,0.001269,-0.006249,0.006907,-0.017411,-0.006525,-0.041719,-0.267259,-0.037872,-0.166666,0.192340,-0.415273,0.307578,-0.189472
-0.006364,0.002798,-0.005202,0.007004,-0.018441,-0.006548,-0.027372,-0.215941,-0.146781,-0.139285,0.227111,-0.354726,0.298572,-0.221400
-0.007136,0.004382,-0.004179,0.008389,-0.017627,-0.005898,-0.047164,-0.270546,-0.010860,-0.210693,0.153112,-0.352632,0.453964,-0.260549
-0.007811,0.005801,-0.003262,0.007878,-0.017126,-0.005728,-0.080106,-0.294494,0.047292,-0.219054,0.108256,-0.371506,0.375395,-0.162275
-0.008550,0.007170,-0.002383,0.007959,-0.015288,-0.005075,-0.047593,-0.254630,-0.058187,-0.228740,0.228246,-0.320792,0.351896,-0.255597
-0.009263,0.008346,-0.001606,0.008271,-0.014240,-0.004850,-0.028018,-0.271044,-0.085258,-0.219253,0.231161,-0.371799,0.452204,-0.335397
-0.010041,0.009713,-0.000750,0.008300,-0.015308,-0.004941,-0.068437,-0.240087,-0.059088,-0.233644,0.170831,-0.379817,0.353595,-0.213911
-0.010748,0.011009,-0.000011,0.008148,-0.015703,-0.004619,-0.073197,-0.221997,-0.064765,-0.252362,0.177676,-0.290420,0.329740,-0.198115
