x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
-0.047976,-0.211148,0.212542,-0.005726,-0.091343,0.092565,-0.472436,0.222261,0.940459,-0.210196,1.000000,-1.000000,0.957844,-0.724969
-0.056945,-0.201559,0.197519,-0.010331,-0.077972,0.086736,0.175490,0.144993,0.262846,-0.560015,0.270756,-0.932084,1.000000,-1.000000
-0.065444,-0.191391,0.181636,-0.017644,-0.084178,0.099185,-1.000000,0.237587,0.066854,-0.628810,-0.426256,0.269986,0.079234,-1.000000
-0.072121,-0.182294,0.167517,-0.020784,-0.071535,0.088268,-0.001131,0.002456,0.020130,0.309145,-1.000000,-0.386484,0.120471,-0.877339
-0.078236,-0.172775,0.152795,-0.024580,-0.065837,0.084956,-0.420826,1.000000,0.904518,-1.000000,-0.275612,-0.163253,1.000000,-1.000000
-0.082748,-0.164498,0.140031,-0.027991,-0.059534,0.079771,-0.433802,-0.323848,0.980775,-0.832599,0.160533,-1.000000,1.000000,-0.739897
-0.086422,-0.156258,0.127297,-0.031191,-0.052722,0.073443,-0.160402,1.000000,-0.177179,-0.072845,1.000000,0.088524,0.190905,0.511267
-0.088808,-0.149324,0.116546,-0.033819,-0.046742,0.067185,0.134072,0.551893,0.483025,-0.980481,1.000000,1.000000,1.000000,-1.000000
-0.090243,-0.142770,0.106428,-0.035893,-0.040186,0.058386,-0.330479,0.570756,1.000000,-0.355901,0.031223,-0.207222,-1.000000,0.766399
-0.090503,-0.137678,0.098826,-0.037194,-0.034480,0.047512,-0.109589,0.863627,-0.175475,-0.728423,1.000000,-0.715315,-1.000000,1.000000
-0.089684,-0.133046,0.092499,-0.038870,-0.030838,0.036502,0.099048,0.182763,-0.613686,0.113775,0.850783,-1.000000,1.000000,-0.597247
-0.088194,-0.129352,0.087962,-0.040214,-0.028601,0.028364,-0.082624,-0.122887,0.655746,-0.371998,0.053324,-1.000000,0.045999,0.167136
-0.085957,-0.125924,0.084208,-0.041282,-0.026136,0.021656,0.171279,-0.369026,0.321542,-0.403492,0.082428,0.227321,-0.793113,0.264804
-0.083459,-0.123232,0.081634,-0.041819,-0.023724,0.016086,-0.161179,0.073408,0.212018,-0.115093,0.548641,0.158062,0.105742,-0.997569
-0.080398,-0.120742,0.079679,-0.041948,-0.021707,0.011283,0.902915,0.275154,-0.200384,-0.503716,-0.589859,-0.627370,0.515671,-0.203874
-0.077269,-0.118715,0.078526,-0.042427,-0.020652,0.007200,-0.065440,0.722866,-0.921883,0.279574,0.165820,-0.961294,0.002643,1.000000
-0.073630,-0.116632,0.077838,-0.042822,-0.021056,0.003974,0.408706,0.111798,0.161840,-0.326614,-0.092717,0.380970,0.582861,1.000000
-0.070116,-0.114767,0.077589,-0.042909,-0.021516,0.001556,0.265309,-0.268269,-0.397422,0.017393,1.000000,-1.000000,-0.486678,0.928975
-0.066257,-0.112774,0.077493,-0.042811,-0.021673,0.000554,-0.227542,-0.311527,-0.490387,0.117732,0.434057,-1.000000,-0.322660,-0.263740
-0.062697,-0.110949,0.077467,-0.042466,-0.021651,0.000161,-0.108268,0.026422,-0.169594,0.640180,-0.234783,-0.217242,-0.540103,0.894769
-0.058876,-0.108978,0.077466,-0.042002,-0.021669,0.000009,0.736211,-0.079691,0.117845,0.425578,-0.422451,0.241514,1.000000,-0.570413
-0.055439,-0.107155,0.077422,-0.041089,-0.021596,0.000272,0.544986,-0.069992,0.279213,0.500181,-0.409089,-1.000000,1.000000,-1.000000
-0.051887,-0.105165,0.077245,-0.039697,-0.021537,0.001021,0.480399,0.343033,-0.600750,-0.110747,0.257534,-1.000000,-0.495188,0.806649
-0.048824,-0.103311,0.076889,-0.037861,-0.021369,0.002227,0.325471,-0.628074,-0.174608,0.607709,-0.088739,1.000000,-0.835536,0.168068
-0.045820,-0.101272,0.076182,-0.035520,-0.021213,0.004074,0.332790,-0.302926,-1.000000,0.634360,0.208277,-0.763414,-1.000000,-1.000000
-0.043342,-0.099345,0.075161,-0.033363,-0.021184,0.006382,-0.664431,0.430084,-0.090426,0.048160,-0.082774,-1.000000,1.000000,-0.239927
-0.040803,-0.097238,0.073862,-0.032332,-0.021188,0.007492,-0.751847,-0.391020,0.735836,-0.465373,0.211230,1.000000,1.000000,0.255488
-0.038512,-0.095313,0.072610,-0.031853,-0.021015,0.007829,0.399064,-0.304643,-0.338736,0.168708,0.771064,0.798034,-0.690623,-0.495750
-0.036128,-0.093229,0.071119,-0.031089,-0.020901,0.008602,0.107811,-0.286338,-0.394470,1.000000,0.485110,-0.390452,-0.407412,-0.489937
-0.034163,-0.091204,0.069334,-0.029615,-0.021689,0.011157,0.037403,0.036543,0.557312,0.852583,-0.395939,-1.000000,-0.988707,-0.538857
-0.032466,-0.088758,0.066594,-0.027265,-0.023600,0.015805,-0.832061,-0.142668,0.780944,0.604533,-0.188604,-0.504824,1.000000,1.000000
-0.031291,-0.086306,0.063379,-0.024633,-0.025235,0.020095,0.497599,-0.105479,0.568732,-0.488379,0.003436,-0.681434,1.000000,0.857110
-0.030278,-0.083577,0.059504,-0.022663,-0.025741,0.022359,-0.000560,0.083923,-0.239192,0.652578,0.119222,-0.104319,0.693020,-0.931421
-0.029585,-0.080950,0.055464,-0.020847,-0.026622,0.025253,-0.239257,0.090586,-0.045467,0.035163,1.000000,-0.275635,-0.629180,-0.756217
-0.029009,-0.078027,0.050704,-0.019601,-0.027155,0.027462,0.616678,0.039269,0.476117,-0.101433,0.200918,-1.000000,0.495478,-0.035211
-0.028585,-0.075344,0.046190,-0.018175,-0.026946,0.028206,-1.000000,-0.015965,1.000000,0.039792,1.000000,-1.000000,0.617599,1.000000
-0.028201,-0.072549,0.041482,-0.016430,-0.025973,0.027162,0.965324,0.396259,-0.157987,-0.496122,0.982240,0.427168,0.484834,0.521101
-0.027836,-0.070070,0.037297,-0.015679,-0.025040,0.026164,-0.497689,0.473438,-1.000000,0.004839,0.093525,-1.000000,1.000000,-0.210581
-0.027379,-0.067441,0.032865,-0.015715,-0.024555,0.025572,0.020499,0.191152,0.030187,-0.445767,-0.565519,-0.261281,-1.000000,-1.000000
-0.026888,-0.065071,0.028939,-0.015715,-0.024133,0.024529,-0.523312,0.349682,1.000000,-0.237227,1.000000,-0.131418,-1.000000,-0.111643
-0.026312,-0.062600,0.025100,-0.014930,-0.023536,0.022148,0.517958,0.294241,0.925569,-0.153413,-1.000000,-0.398863,0.893325,1.000000
-0.025759,-0.060431,0.022033,-0.013746,-0.022756,0.019163,-1.000000,-0.185795,-1.000000,0.209410,1.000000,1.000000,0.631821,-0.147462
-0.025122,-0.058154,0.019002,-0.013302,-0.022293,0.017482,-0.024353,0.243973,0.896875,-0.408622,1.000000,0.228451,-0.297045,-1.000000
-0.024536,-0.056169,0.016660,-0.012076,-0.021428,0.014645,0.754934,0.155702,0.873544,0.351183,0.676816,-1.000000,1.000000,-0.148048
-0.023937,-0.054201,0.014856,-0.010079,-0.020083,0.010407,0.251184,0.517042,-0.153552,-0.398589,0.538886,-0.249706,-0.222147,0.652224
-0.023423,-0.052468,0.013755,-0.008349,-0.019645,0.006881,-0.405039,-0.000539,-0.041786,-0.332113,-0.283651,-0.608961,-1.000000,1.000000
-0.022891,-0.050618,0.012965,-0.007276,-0.019678,0.004556,-0.340345,0.019243,-0.405039,0.079281,0.756017,-1.000000,-0.056430,-0.470180
-0.022403,-0.048916,0.012439,-0.006805,-0.019819,0.003288,-0.021933,-0.369358,0.055198,0.162221,1.000000,-0.602825,1.000000,0.445620
-0.021876,-0.047089,0.011975,-0.006569,-0.019715,0.002680,-0.101406,-0.307496,-0.387474,-0.411170,-1.000000,-0.785313,1.000000,0.763943
