x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
0.009251,0.004161,-0.012108,0.000689,0.002154,0.000634,-0.061440,-0.023847,0.008597,0.015581,0.280895,-0.369361,0.240257,-0.144808
0.009196,0.003978,-0.012208,0.000681,0.002143,0.000626,-0.061610,-0.023150,0.008491,0.015584,0.281194,-0.369476,0.240020,-0.144607
0.009136,0.003780,-0.012315,0.000674,0.002135,0.000618,-0.061858,-0.022300,0.008272,0.015592,0.281515,-0.369604,0.239596,-0.144269
0.009081,0.003599,-0.012413,0.000667,0.002124,0.000609,-0.062026,-0.021579,0.008134,0.015593,0.281854,-0.369668,0.239282,-0.144054
0.009022,0.003404,-0.012517,0.000660,0.002116,0.000601,-0.062249,-0.020789,0.007952,0.015589,0.282161,-0.369825,0.238987,-0.143800
0.008968,0.003224,-0.012611,0.000652,0.002103,0.000591,-0.062431,-0.020079,0.007793,0.015597,0.282452,-0.369953,0.238648,-0.143538
0.008910,0.003031,-0.012712,0.000646,0.002094,0.000582,-0.062632,-0.019287,0.007574,0.015596,0.282792,-0.370033,0.238335,-0.143308
0.008858,0.002854,-0.012803,0.000638,0.002079,0.000571,-0.062791,-0.018652,0.007427,0.015627,0.283051,-0.370145,0.238068,-0.143085
0.008801,0.002663,-0.012901,0.000631,0.002068,0.000561,-0.062999,-0.017883,0.007213,0.015640,0.283355,-0.370272,0.237699,-0.142798
0.008749,0.002488,-0.012989,0.000624,0.002055,0.000550,-0.063143,-0.017277,0.007092,0.015668,0.283614,-0.370368,0.237462,-0.142597
0.008694,0.002299,-0.013082,0.000617,0.002042,0.000539,-0.063330,-0.016577,0.006881,0.015697,0.283876,-0.370507,0.237177,-0.142348
0.008643,0.002127,-0.013167,0.000610,0.002025,0.000527,-0.063471,-0.015954,0.006696,0.015725,0.284139,-0.370608,0.236926,-0.142153
0.008589,0.001941,-0.013256,0.000603,0.002014,0.000516,-0.063636,-0.015297,0.006501,0.015761,0.284400,-0.370710,0.236671,-0.141933
0.008539,0.001771,-0.013337,0.000597,0.001999,0.000504,-0.063763,-0.014763,0.006360,0.015824,0.284617,-0.370803,0.236404,-0.141704
0.008486,0.001589,-0.013422,0.000590,0.001983,0.000491,-0.063928,-0.014100,0.006130,0.015856,0.284872,-0.370920,0.236139,-0.141482
0.008438,0.001421,-0.013498,0.000582,0.001966,0.000478,-0.064054,-0.013558,0.005957,0.015893,0.285066,-0.371056,0.235976,-0.141311
0.008386,0.001242,-0.013579,0.000576,0.001951,0.000465,-0.064194,-0.012987,0.005749,0.015965,0.285285,-0.371164,0.235707,-0.141076
0.008338,0.001077,-0.013651,0.000569,0.001933,0.000451,-0.064287,-0.012507,0.005562,0.016046,0.285497,-0.371216,0.235487,-0.140901
0.008287,0.000901,-0.013727,0.000563,0.001916,0.000437,-0.064426,-0.011950,0.005348,0.016094,0.285678,-0.371355,0.235311,-0.140706
0.008240,0.000740,-0.013794,0.000557,0.001900,0.000424,-0.064532,-0.011503,0.005201,0.016159,0.285821,-0.371493,0.235135,-0.140505
0.008191,0.000567,-0.013865,0.000550,0.001880,0.000409,-0.064642,-0.010991,0.004958,0.016239,0.286025,-0.371570,0.234928,-0.140328
0.008145,0.000409,-0.013928,0.000543,0.001861,0.000394,-0.064722,-0.010552,0.004725,0.016313,0.286191,-0.371658,0.234807,-0.140206
0.008096,0.000239,-0.013994,0.000537,0.001841,0.000380,-0.064832,-0.010102,0.004542,0.016393,0.286329,-0.371784,0.234617,-0.139993
0.008052,0.000085,-0.014053,0.000532,0.001822,0.000365,-0.064915,-0.009720,0.004365,0.016483,0.286456,-0.371856,0.234433,-0.139802
0.008004,-0.000080,-0.014113,0.000526,0.001801,0.000350,-0.065001,-0.009302,0.004131,0.016557,0.286598,-0.371971,0.234323,-0.139667
0.007960,-0.000231,-0.014167,0.000520,0.001779,0.000335,-0.065076,-0.008952,0.003927,0.016630,0.286700,-0.372110,0.234230,-0.139531
0.007913,-0.000393,-0.014222,0.000515,0.001758,0.000320,-0.065163,-0.008560,0.003713,0.016699,0.286825,-0.372182,0.234087,-0.139368
0.007870,-0.000539,-0.014271,0.000509,0.001734,0.000305,-0.065214,-0.008270,0.003532,0.016781,0.286923,-0.372231,0.234001,-0.139249
0.007824,-0.000697,-0.014321,0.000504,0.001713,0.000290,-0.065294,-0.007905,0.003287,0.016856,0.287030,-0.372357,0.233876,-0.139100
0.007782,-0.000840,-0.014365,0.000498,0.001688,0.000274,-0.065343,-0.007639,0.003121,0.016932,0.287112,-0.372465,0.233791,-0.138977
0.007737,-0.000992,-0.014410,0.000493,0.001666,0.000259,-0.065417,-0.007315,0.002878,0.017003,0.287186,-0.372549,0.233706,-0.138840
0.007696,-0.001131,-0.014449,0.000488,0.001641,0.000244,-0.065446,-0.007099,0.002698,0.017083,0.287246,-0.372624,0.233662,-0.138746
0.007652,-0.001279,-0.014489,0.000483,0.001618,0.000229,-0.065506,-0.006818,0.002458,0.017167,0.287320,-0.372723,0.233577,-0.138622
0.007612,-0.001414,-0.014523,0.000477,0.001591,0.000214,-0.065535,-0.006616,0.002280,0.017239,0.287368,-0.372803,0.233539,-0.138531
0.007569,-0.001557,-0.014558,0.000473,0.001566,0.000199,-0.065591,-0.006362,0.002038,0.017313,0.287408,-0.372896,0.233490,-0.138415
0.007529,-0.001687,-0.014587,0.000468,0.001541,0.000184,-0.065606,-0.006212,0.001873,0.017392,0.287442,-0.372968,0.233460,-0.138331
0.007487,-0.001826,-0.014617,0.000463,0.001515,0.000170,-0.065649,-0.006006,0.001646,0.017469,0.287482,-0.373049,0.233415,-0.138233
0.007448,-0.001951,-0.014641,0.000458,0.001487,0.000155,-0.065669,-0.005858,0.001464,0.017524,0.287497,-0.373132,0.233422,-0.138167
0.007407,-0.002085,-0.014666,0.000453,0.001460,0.000141,-0.065705,-0.005689,0.001257,0.017589,0.287511,-0.373220,0.233409,-0.138078
0.007369,-0.002205,-0.014686,0.000449,0.001433,0.000127,-0.065711,-0.005587,0.001080,0.017658,0.287528,-0.373272,0.233396,-0.138016
0.007329,-0.002334,-0.014706,0.000444,0.001405,0.000113,-0.065730,-0.005458,0.000872,0.017724,0.287542,-0.373344,0.233397,-0.137952
0.007292,-0.002450,-0.014721,0.000439,0.001378,0.000099,-0.065741,-0.005370,0.000693,0.017776,0.287524,-0.373431,0.233420,-0.137892
0.007252,-0.002573,-0.014736,0.000435,0.001350,0.000085,-0.065758,-0.005271,0.000503,0.017831,0.287515,-0.373503,0.233433,-0.137828
