x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
0.156325,0.047481,-0.107187,0.137716,-0.106319,0.062290,-0.908771,0.097654,1.000000,-1.000000,0.753451,-0.015282,0.303607,-0.253147
0.145950,0.053788,-0.114134,0.124998,-0.106927,0.040081,-0.860014,0.001252,1.000000,-1.000000,0.747536,-0.006011,0.351989,-0.270895
0.136900,0.061276,-0.116554,0.112539,-0.102361,0.015124,-0.745597,-0.074486,1.000000,-1.000000,0.759438,-0.096408,0.364896,-0.320962
0.126765,0.070735,-0.113310,0.104445,-0.088654,-0.018717,-0.580031,-0.252998,1.000000,-1.000000,0.729033,-0.160421,0.340515,-0.342009
0.116252,0.080132,-0.104124,0.100186,-0.068646,-0.057393,-0.382261,-0.448416,1.000000,-1.000000,0.647176,-0.181063,0.292050,-0.339266
0.102761,0.090481,-0.087275,0.099917,-0.047396,-0.097240,-0.121254,-0.717085,0.570155,-1.000000,0.460349,-0.293532,0.272936,-0.340320
0.088314,0.099278,-0.066499,0.099013,-0.027196,-0.129699,0.170400,-1.000000,-0.480837,-0.564583,0.190138,-0.462729,0.215994,-0.312761
0.071238,0.107408,-0.040589,0.095797,-0.014054,-0.149587,0.406242,-1.000000,-1.000000,-0.073369,-0.229068,-0.589594,0.242147,-0.278930
0.054775,0.113363,-0.015104,0.091008,-0.007163,-0.159272,0.435819,-1.000000,-1.000000,0.195818,-0.774694,-0.671517,0.405537,-0.137123
0.037483,0.117427,0.011462,0.084106,0.001180,-0.153324,0.431573,-1.000000,-1.000000,0.341154,-1.000000,-0.613245,0.413175,0.089440
0.022516,0.119304,0.034018,0.078096,0.005744,-0.141017,0.503798,-1.000000,-1.000000,0.529958,-1.000000,-0.603032,0.460269,0.084717
0.007570,0.120246,0.055579,0.074927,0.003390,-0.124368,0.497547,-1.000000,-1.000000,0.592412,-0.998360,-0.690076,0.464977,0.039435
-0.005237,0.119664,0.072923,0.074342,0.009705,-0.108354,0.437733,-1.000000,-1.000000,0.503370,-0.996073,-0.673371,0.437669,0.086896
-0.018014,0.117550,0.088932,0.074416,0.018692,-0.092422,0.352687,-1.000000,-1.000000,0.315977,-1.000000,-0.594792,0.502388,0.094821
-0.028918,0.115320,0.101252,0.075787,0.017195,-0.076971,0.268676,-1.000000,-1.000000,0.156406,-0.983328,-0.609868,0.553485,0.039371
-0.040516,0.113957,0.112798,0.081701,0.002623,-0.066611,0.192537,-1.000000,-1.000000,0.012009,-0.893773,-0.636887,0.562140,-0.044361
-0.050586,0.113511,0.120645,0.086528,-0.006995,-0.049005,0.105338,-1.000000,-1.000000,-0.198539,-0.841818,-0.587892,0.616043,-0.102732
