r,l,t,target_pose
551.427063,1001,253.291587,[  2.73956049  -0.6112156  129.09525117]
413.437767,1001,506.772241,[   1.52299263   -4.56224676 -172.78934873]
302.20545,1001,760.246514,[ -3.7743449   -2.41886925 -33.92253798]
467.055458,1001,1013.547848,[ 0.73130657  0.28491145 94.91408633]
566.520029,1001,1267.017551,[  4.05604277  -4.22773207 -81.87488787]
