x,y,psi,u,v,r,n1x,n1y,n2x,n2y,n3x,n3y,n4x,n4y
-0.011636,-0.081279,0.020771,0.006581,-0.016217,0.003826,0.000000,0.017224,0.000000,0.000000,0.000000,-0.258680,0.000000,0.000000
-0.012321,-0.079871,0.019981,0.006211,-0.017733,0.005263,0.000000,0.000000,0.000000,-0.225552,0.000000,-0.243801,0.000000,0.000000
-0.013174,-0.078401,0.018847,0.005849,-0.014653,0.006039,0.000000,0.000000,0.000000,-0.231762,0.000000,-0.198978,0.000000,0.000000
-0.014103,-0.077223,0.017426,0.006872,-0.013283,0.008743,0.000000,0.000000,0.000000,-0.161671,0.000000,-0.134958,0.003261,0.000000
-0.014969,-0.075920,0.016105,0.007017,-0.015994,0.008795,0.000000,0.000000,0.000000,-0.206332,0.000000,-0.157448,0.000000,0.000000
-0.016147,-0.074805,0.014085,0.008278,-0.012099,0.012427,0.000000,0.000000,0.000000,-0.294083,0.000000,-0.138070,0.000000,0.000000
-0.017450,-0.074230,0.011691,0.009514,-0.005798,0.015933,0.000000,0.000000,0.000000,-0.246337,0.000000,-0.076762,0.000000,0.000000
-0.019459,-0.074203,0.007842,0.011453,0.001951,0.020506,0.000000,0.000000,0.000000,-0.346223,0.000000,-0.027245,0.000000,0.000000
-0.021139,-0.074886,0.004688,0.011234,0.010442,0.019405,-0.020617,0.000000,0.000000,-0.514668,0.000000,-0.036109,0.000000,0.000000
-0.022744,-0.076503,0.001755,0.011763,0.023329,0.019530,-0.072855,0.000000,0.000000,-0.688913,0.000000,-0.014130,0.000000,0.000000
-0.024227,-0.078748,-0.000604,0.010892,0.028699,0.014508,-0.061564,0.000000,0.000000,-0.736254,0.000000,-0.084066,0.000000,0.000000
-0.026040,-0.081667,-0.003177,0.012106,0.032062,0.013714,-0.047082,0.000000,0.000000,-0.850484,0.000000,-0.193771,0.000000,0.000000
-0.027624,-0.084800,-0.005248,0.013541,0.042484,0.013793,-0.026719,0.000000,0.000000,-0.830064,0.000000,-0.290985,0.000000,0.000000
-0.029475,-0.089192,-0.007450,0.015015,0.054412,0.013532,-0.047522,0.000000,0.000000,-0.850131,0.000000,-0.261631,0.000000,0.000000
-0.030967,-0.093198,-0.008586,0.015103,0.052870,0.007563,-0.077916,0.000000,0.000000,-1.000000,0.000000,-0.307045,0.000000,0.000000
-0.032708,-0.099169,-0.009216,0.016020,0.062087,0.003358,-0.085710,0.000000,-0.017880,-1.000000,0.000000,-0.437332,0.000000,0.000000
-0.033592,-0.104848,-0.008003,0.014988,0.065949,-0.007460,-0.049184,0.000000,-0.002184,-0.996425,0.000000,-0.496820,0.000000,0.000000
-0.033657,-0.110258,-0.005101,0.013133,0.065680,-0.019320,-0.032243,0.000000,-0.022114,-1.000000,0.000000,-0.613320,0.000000,0.000000
-0.033148,-0.115970,-0.000771,0.011796,0.062490,-0.026620,0.000000,0.000000,-0.086252,-0.908965,0.000000,-0.829133,0.000000,0.000000
-0.031975,-0.120439,0.004683,0.010533,0.050394,-0.036337,0.000000,0.000000,-0.090444,-0.670439,0.000000,-1.000000,0.065431,0.000000
-0.029674,-0.125699,0.013013,0.008864,0.045931,-0.044384,0.000000,0.000000,-0.044501,-0.499950,0.000000,-1.000000,0.120211,0.000000
-0.026944,-0.130191,0.021136,0.005776,0.044813,-0.049930,0.000000,0.000000,-0.068400,-0.308093,0.000000,-1.000000,0.112545,0.000000
-0.024348,-0.133474,0.028276,0.004253,0.034874,-0.047564,0.000000,0.141387,-0.146756,-0.217564,0.000000,-1.000000,0.075223,0.000000
-0.021642,-0.136198,0.035173,0.002279,0.026448,-0.042415,0.000000,0.148268,-0.148835,-0.146055,0.000000,-1.000000,0.039663,0.000000
-0.018909,-0.137932,0.041587,0.000169,0.013628,-0.034165,0.000000,0.000000,-0.055827,-0.104065,0.000000,-1.000000,0.000000,0.000000
-0.017229,-0.137877,0.045237,-0.001261,-0.003380,-0.024333,0.000000,0.000000,0.000000,-0.106759,0.000000,-1.000000,0.000000,0.000000
-0.016174,-0.136992,0.047421,-0.001289,-0.011871,-0.013423,0.000000,0.019250,0.000000,-0.081771,0.000000,-1.000000,0.150896,0.000000
-0.016006,-0.135603,0.047642,-0.000936,-0.017989,-0.001471,0.000000,0.037363,0.000000,-0.094459,0.000000,-0.919914,0.215946,0.000000
-0.015992,-0.134171,0.047098,-0.002909,-0.016689,0.003343,0.000000,0.000000,0.000000,-0.303708,0.000000,-0.664828,0.105853,0.000000
-0.016902,-0.132085,0.044311,-0.002727,-0.019968,0.014854,0.000000,0.000000,0.000000,-0.499886,0.000000,-0.433995,0.017707,0.000000
-0.018363,-0.130336,0.040390,-0.002108,-0.019667,0.026098,0.000000,0.000000,0.000000,-0.443275,0.000000,-0.471361,0.129055,0.000000
-0.020212,-0.128041,0.035316,-0.002691,-0.023589,0.031206,0.000000,0.000000,0.000000,-0.511593,0.000000,-0.304869,0.174220,0.000000
-0.021750,-0.126003,0.030712,-0.004010,-0.022271,0.030668,0.000000,0.000000,0.000000,-0.848801,0.032863,-0.056279,0.029163,0.000000
-0.023486,-0.123230,0.025256,-0.004326,-0.024509,0.029072,0.000000,0.000000,0.000000,-0.907571,0.058826,0.000000,0.000000,0.000000
-0.024796,-0.120518,0.021002,-0.003971,-0.028344,0.026159,0.000000,0.000000,0.000000,-0.712653,0.000000,-0.020674,0.154107,0.000000
-0.025832,-0.118075,0.017523,-0.003601,-0.027821,0.023164,0.000000,0.000000,0.000000,-0.630583,0.000000,0.000000,0.189021,0.000000
-0.026223,-0.116777,0.015335,-0.004979,-0.013260,0.013445,0.000000,0.000000,0.000000,-0.655080,0.000000,0.000000,0.028359,0.000000
-0.026341,-0.116639,0.013762,-0.004729,-0.000075,0.008392,0.000000,0.000000,0.000000,-0.642404,0.000000,-0.034448,0.000000,0.000000
-0.026215,-0.116544,0.013201,-0.004256,-0.000611,0.003733,0.000000,0.000000,0.000000,-0.530575,0.000000,-0.325065,0.052708,0.000000
-0.025711,-0.116359,0.013548,-0.004469,-0.002538,-0.002134,0.000000,0.000000,0.000000,-0.585802,0.000000,-0.512671,0.035811,0.000000
