x,y,psi,u,v,r,n1x,n1y,n2x,n2y,n3x,n3y,n4x,n4y
-0.036950,0.011949,0.016665,-0.004089,0.005039,0.002625,-0.064333,0.072820,-0.032165,0.000000,0.000000,0.000000,0.000000,0.040176
-0.036589,0.011720,0.016367,-0.004497,0.003396,0.001985,-0.069286,0.176885,-0.054356,0.000000,0.000000,0.000000,0.000000,0.031593
-0.035924,0.011779,0.015216,-0.006402,0.000749,0.006134,-0.056293,0.052336,-0.007355,0.000000,0.000000,0.000000,0.000000,0.077904
-0.035354,0.011463,0.013627,-0.006063,0.005881,0.009774,-0.040580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.082835
-0.034777,0.011157,0.012079,-0.006694,0.006151,0.010305,-0.054465,0.071892,0.000000,0.000000,0.000000,0.000000,0.000000,0.183832
-0.034076,0.010426,0.010205,-0.007536,0.011100,0.011523,-0.077385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166577
-0.033375,0.008527,0.007364,-0.006239,0.022674,0.015145,-0.065829,0.001960,0.000000,0.000000,0.000000,0.000000,0.000000,0.158686
-0.032809,0.006599,0.005130,-0.006494,0.027772,0.014861,-0.046447,0.000000,0.000000,-0.051423,0.000000,0.000000,0.000000,0.113550
-0.032154,0.004242,0.002978,-0.007231,0.030588,0.013225,-0.074480,0.000000,0.000000,-0.312039,0.000000,0.000000,0.000000,0.000000
-0.031418,0.001212,0.001896,-0.009302,0.040446,0.007220,-0.070365,0.000000,0.000000,-0.406107,0.000000,0.000000,0.000000,0.000000
-0.030588,-0.002587,0.000972,-0.009793,0.046151,0.005677,-0.028670,0.000000,0.000000,-0.409887,0.000000,0.000000,0.000000,0.000000
-0.029585,-0.007340,0.000278,-0.010372,0.049563,0.003699,0.000000,0.000000,0.000000,-0.406754,0.000000,-0.187283,0.000000,0.000000
-0.028762,-0.011178,-0.000203,-0.010752,0.050001,0.003209,0.000000,0.000000,0.000000,-0.481167,0.000000,-0.289162,0.000000,0.000000
-0.027765,-0.014848,-0.000898,-0.012117,0.044306,0.004270,0.000000,0.000000,0.000000,-0.548750,0.000000,-0.291510,0.000000,0.000000
-0.026743,-0.017486,-0.001656,-0.013591,0.034761,0.005045,0.000000,0.000000,0.000000,-0.559289,0.000000,-0.271864,0.013807,0.000000
-0.025456,-0.019796,-0.002102,-0.013489,0.024149,0.002377,0.000000,0.000000,0.000000,-0.519585,0.000000,-0.218099,0.081977,0.000000
-0.024334,-0.021703,-0.001892,-0.013167,0.022438,-0.001288,0.000000,0.000000,0.000000,-0.445273,0.000000,-0.142117,0.122920,0.000000
-0.023259,-0.023165,-0.001437,-0.013416,0.018356,-0.003029,0.000000,0.000000,0.000000,-0.318621,0.000000,-0.131310,0.100651,0.000000
-0.022138,-0.024633,-0.000632,-0.012623,0.016722,-0.004951,0.000000,0.000000,0.000000,-0.265967,0.000000,-0.239119,0.031461,0.000000
-0.020706,-0.026339,0.000924,-0.013482,0.016440,-0.008291,0.000000,0.000000,0.000000,-0.211417,0.000000,-0.262027,0.000000,0.000000
-0.019451,-0.027044,0.002017,-0.014990,0.008165,-0.007283,0.000000,0.000000,0.000000,-0.147723,0.000000,-0.243239,0.062857,0.000000
-0.018125,-0.027272,0.003540,-0.014197,0.001602,-0.009360,0.000000,0.000000,0.000000,-0.079677,0.000000,-0.319704,0.087378,0.000000
-0.016890,-0.026738,0.004617,-0.014689,-0.007646,-0.007179,0.000000,0.005769,0.000000,-0.048856,0.000000,-0.253452,0.056412,0.000000
-0.015558,-0.025414,0.005538,-0.014898,-0.016299,-0.005664,0.000000,0.069141,0.000000,0.000000,0.000000,-0.200585,0.067602,0.000000
-0.014041,-0.023433,0.006302,-0.014976,-0.020766,-0.004067,0.000000,0.096416,0.000000,0.000000,0.000000,-0.113858,0.084611,0.000000
-0.012877,-0.021627,0.006987,-0.014332,-0.023612,-0.004567,0.000000,0.107968,0.000000,0.000000,0.000000,-0.039608,0.034311,0.118573
-0.011720,-0.019580,0.007737,-0.013129,-0.024668,-0.004613,0.000000,0.138317,0.000000,0.000000,0.000000,-0.010727,0.000781,0.182731
-0.010853,-0.017357,0.008845,-0.010274,-0.029101,-0.007374,0.000000,0.272362,0.000000,0.000000,0.000000,-0.064216,0.000000,0.196307
-0.009842,-0.014245,0.010244,-0.009615,-0.032517,-0.007456,0.000000,0.323654,0.000000,0.000000,0.000000,-0.084421,0.000000,0.206957
-0.008968,-0.011963,0.011458,-0.009723,-0.027519,-0.007464,0.000000,0.357736,0.000000,0.000000,0.000000,-0.067109,0.000000,0.247976
-0.008220,-0.010789,0.012368,-0.009185,-0.015431,-0.006060,0.000000,0.382518,0.000000,0.000000,0.000000,-0.022843,0.000000,0.309712
-0.007737,-0.011158,0.011662,-0.006009,0.004590,0.004338,0.000000,0.372829,0.000000,0.000000,0.000000,-0.094125,0.000000,0.244308
-0.007202,-0.011164,0.010593,-0.005891,0.000333,0.005696,0.000000,0.298893,0.000000,0.000000,0.000000,-0.230787,0.000000,0.086367
-0.006789,-0.010931,0.009368,-0.005861,-0.002639,0.008159,0.000000,0.000000,0.000000,-0.097862,0.000000,-0.171517,0.000000,0.000000
-0.006308,-0.010455,0.007558,-0.006455,-0.005186,0.011132,0.000000,0.000000,0.000000,-0.149343,0.000000,0.000000,0.000000,0.095125
-0.005930,-0.010154,0.005715,-0.005626,-0.003397,0.012269,0.000000,0.000000,0.000000,-0.054972,0.000000,0.000000,0.042008,0.178163
-0.005760,-0.009039,0.004820,-0.002361,-0.013048,0.005506,0.000000,0.000000,0.000000,-0.009252,0.000000,0.000000,0.000000,0.200608
-0.005696,-0.006539,0.004696,-0.000695,-0.025699,0.000658,0.000000,0.000000,0.000000,-0.074030,0.000000,0.000000,0.000000,0.196876
-0.005636,-0.004598,0.004633,-0.000787,-0.024959,0.000425,0.000000,0.159928,0.000000,0.000000,0.000000,0.000000,0.000000,0.259954
-0.005512,-0.002942,0.004833,-0.001447,-0.019685,-0.001231,0.000000,0.404541,0.000000,0.000000,0.000000,0.000000,0.000000,0.387619
-0.005386,-0.002126,0.005235,-0.001567,-0.010580,-0.002675,0.000000,0.336756,0.000000,0.000000,0.000000,0.000000,0.000000,0.374683
-0.005320,-0.001343,0.005701,-0.000645,-0.008145,-0.002483,0.000000,0.295400,0.000000,0.000000,0.000000,-0.031142,0.000000,0.264172
-0.005193,-0.001037,0.006467,-0.001474,-0.003786,-0.004713,0.000000,0.280343,0.000000,0.000000,0.000000,-0.130327,0.000000,0.139270
-0.005144,-0.000686,0.007272,-0.000588,-0.004671,-0.005361,0.000000,0.191019,0.000000,0.000000,0.000000,-0.087911,0.000000,0.132947
-0.005100,-0.000959,0.008325,-0.000505,0.003027,-0.006477,0.000000,0.083680,0.000000,0.000000,0.000000,-0.082079,0.000000,0.086976
-0.004926,-0.002276,0.010042,-0.002170,0.016592,-0.011437,0.000000,0.168333,0.000000,0.000000,0.000000,-0.092330,0.000000,0.085975
-0.004491,-0.004640,0.012805,-0.004267,0.023876,-0.014717,0.000000,0.154878,0.000000,0.000000,0.000000,-0.170695,0.000000,0.000000
-0.003952,-0.007034,0.015283,-0.005971,0.028002,-0.015233,0.000000,0.088245,0.000000,0.000000,0.000000,-0.425417,0.000000,0.000000
-0.003339,-0.009095,0.017200,-0.007333,0.026214,-0.012771,0.000000,0.009123,0.000000,0.000000,0.000000,-0.525687,0.000000,0.000000
-0.002592,-0.011354,0.019147,-0.008203,0.026585,-0.011977,0.000000,0.000000,0.000000,0.000000,0.000000,-0.471972,0.012926,0.000000
-0.001699,-0.014537,0.021124,-0.008466,0.032574,-0.010535,0.000000,0.000000,0.000000,-0.001759,0.000000,-0.379670,0.105646,0.000000
-0.000899,-0.017376,0.022665,-0.009377,0.036394,-0.010260,0.000000,0.000000,0.000000,-0.025578,0.000000,-0.426178,0.089701,0.000000
0.000005,-0.019663,0.023744,-0.010042,0.027131,-0.006638,0.000000,0.000000,0.000000,-0.180243,0.000000,-0.541532,0.000000,0.000000
0.000864,-0.020606,0.023885,-0.010918,0.012116,-0.000938,0.000000,0.000000,0.000000,-0.238809,0.000000,-0.580494,0.006033,0.000000
0.002011,-0.021844,0.023862,-0.011818,0.012730,0.000122,0.000000,0.000000,0.000000,-0.128574,0.000000,-0.382363,0.218548,0.000000
0.002973,-0.023221,0.023347,-0.011847,0.016322,0.003169,0.000000,0.000000,0.000000,-0.058512,0.000000,-0.123796,0.310542,0.000000
0.003888,-0.024634,0.022841,-0.012235,0.018110,0.003369,0.000000,0.000000,0.000000,-0.225758,0.030117,-0.228875,0.059979,0.000000
0.004959,-0.026420,0.022504,-0.013036,0.021162,0.002076,0.000000,0.000000,0.000000,-0.380520,0.103322,-0.356494,0.000000,0.000000
0.005925,-0.027932,0.022026,-0.012918,0.019348,0.003179,0.000000,0.000000,0.000000,-0.266588,0.042990,-0.299342,0.127056,0.000000
0.007366,-0.030095,0.021864,-0.014978,0.022211,0.000862,0.000000,0.000000,0.000000,-0.253873,0.000000,-0.250608,0.288500,0.000000
0.008746,-0.032018,0.021763,-0.016486,0.022802,0.000621,0.000000,0.000000,0.000000,-0.345889,0.057013,-0.292506,0.139571,0.000000
0.010053,-0.033618,0.021515,-0.017130,0.020485,0.001653,0.000000,0.000000,0.000000,-0.418680,0.112904,-0.436308,0.039778,0.000000
0.011434,-0.035026,0.021301,-0.016667,0.016640,0.001317,0.000000,0.000000,0.000000,-0.357249,0.083057,-0.407098,0.206335,0.000000
0.013003,-0.035686,0.020938,-0.016546,0.006652,0.001932,0.000000,0.000000,0.000000,-0.321451,0.051522,-0.272588,0.363845,0.000000
0.014371,-0.035710,0.020286,-0.018539,-0.000027,0.004344,0.000000,0.000000,0.000000,-0.375810,0.091632,-0.283135,0.243700,0.000000
0.015727,-0.035061,0.019065,-0.017724,-0.008360,0.007509,0.000000,0.035696,0.000000,-0.335878,0.134686,-0.266959,0.131599,0.000000
0.016867,-0.034152,0.017671,-0.016649,-0.012572,0.009286,0.000000,0.008299,0.000000,-0.248088,0.135961,-0.135535,0.276362,0.000000
0.018194,-0.033132,0.016183,-0.015294,-0.011297,0.007928,0.000000,0.000000,0.000000,-0.193015,0.122763,0.000000,0.313822,0.024677
0.019192,-0.031561,0.015391,-0.012818,-0.019185,0.004871,0.000000,0.000000,0.000000,-0.253289,0.175302,0.000000,0.155876,0.080912
0.020133,-0.029868,0.014557,-0.013176,-0.022430,0.005556,0.000000,0.062284,0.000000,-0.234170,0.191706,-0.066362,0.042874,0.027206
0.021094,-0.028012,0.013956,-0.012072,-0.022474,0.003695,0.000000,0.206369,0.000000,0.000000,0.089753,-0.005393,0.173153,0.094348
0.022006,-0.026219,0.013564,-0.012170,-0.023395,0.002610,0.000000,0.069453,0.000000,0.000000,0.068632,0.000000,0.263536,0.177910
0.023212,-0.023639,0.013101,-0.012805,-0.026867,0.002467,0.000000,0.045193,0.000000,0.000000,0.098045,-0.063076,0.000000,0.173307
0.024061,-0.020317,0.013821,-0.009438,-0.038822,-0.004425,0.000000,0.261279,0.000000,0.000000,0.145781,-0.087330,0.000000,0.194452
0.024696,-0.016746,0.015001,-0.007206,-0.044764,-0.007859,0.000000,0.183488,0.000000,0.000000,0.124365,0.000000,0.148626,0.279167
0.025315,-0.013071,0.016628,-0.006329,-0.042118,-0.009996,0.000000,0.338039,0.000000,0.000000,0.000000,0.000000,0.072280,0.353823
0.026011,-0.008803,0.018444,-0.006408,-0.042430,-0.009683,0.000000,0.674041,0.000000,0.000000,0.000000,-0.015103,0.000000,0.389362
0.026469,-0.005167,0.019959,-0.005345,-0.045137,-0.010083,0.000000,0.651464,0.000000,0.000000,0.000000,-0.179089,0.000000,0.361671
0.026798,-0.000313,0.022130,-0.003500,-0.055514,-0.013356,0.000000,0.486095,0.000000,0.000000,0.000000,-0.200788,0.000000,0.362494
0.026935,0.005147,0.024529,-0.001735,-0.067591,-0.015974,0.000000,0.491524,0.000000,0.000000,0.000000,-0.073137,0.000000,0.460866
0.026782,0.012598,0.028399,0.000905,-0.073298,-0.020624,0.000000,0.754846,0.000000,0.000000,0.000000,0.000000,0.006891,0.603519
0.026700,0.018932,0.031245,-0.000369,-0.072388,-0.017505,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.705695
0.026599,0.024315,0.033625,-0.000535,-0.066649,-0.015855,0.000000,1.000000,0.000000,0.000000,0.000000,-0.080709,0.000000,0.687800
0.026431,0.029322,0.035789,0.000029,-0.057307,-0.013304,0.000000,1.000000,0.000000,0.000000,0.000000,-0.084621,0.000000,0.691456
0.026259,0.033051,0.037278,0.000440,-0.046375,-0.009919,0.000000,1.000000,0.000000,0.000000,0.000000,-0.049593,0.000000,0.690882
0.026104,0.035954,0.038412,0.000384,-0.028887,-0.006037,0.000000,0.944225,0.000000,0.000000,0.000000,-0.069102,0.000000,0.633715
