x,y,psi,u,v,r,n1x,n1y,n2x,n2y,n3x,n3y,n4x,n4y
-0.018502,-0.059339,0.009708,0.005929,0.013649,-0.018640,0.000000,0.007214,0.000000,-0.149060,0.000000,-0.480464,0.000000,0.000000
-0.018312,-0.060402,0.012890,0.005192,0.011312,-0.021159,0.000000,0.045246,0.000000,-0.072083,0.000000,-0.524175,0.000000,0.000000
-0.017905,-0.062164,0.016808,0.004009,0.018299,-0.024107,0.000000,0.055779,0.000000,-0.012298,0.000000,-0.554695,0.000000,0.000000
-0.017229,-0.064672,0.021028,0.001925,0.029283,-0.028110,0.000000,0.068344,0.000000,0.000000,0.000000,-0.590308,0.000000,0.000000
-0.016281,-0.068015,0.025802,0.000291,0.036715,-0.029361,0.000000,0.037999,-0.001667,-0.010892,0.000000,-0.736133,0.000000,0.000000
-0.015219,-0.071114,0.030755,-0.000020,0.029340,-0.026379,0.000000,0.011631,-0.024964,-0.074979,0.000000,-0.941813,0.000000,0.000000
-0.014457,-0.073145,0.034164,0.000009,0.024101,-0.022722,0.000000,0.000000,0.000000,-0.142577,0.000000,-1.000000,0.000000,0.000000
-0.013924,-0.074769,0.036856,0.001021,0.017853,-0.016554,0.000000,0.000000,0.000000,-0.086338,0.000000,-0.825313,0.122940,0.000000
-0.013852,-0.075444,0.038067,0.002728,0.008005,-0.008063,0.000000,0.000000,0.000000,-0.083860,0.000000,-0.708095,0.198315,0.000000
-0.014169,-0.075104,0.037401,0.001636,-0.003194,0.003548,0.000000,0.000000,0.000000,-0.203083,0.000000,-0.653993,0.040152,0.000000
-0.014699,-0.075130,0.035582,0.001206,0.001279,0.011181,0.000000,0.000000,0.000000,-0.284767,0.000000,-0.474272,0.000000,0.000000
-0.015398,-0.074877,0.033002,0.001157,-0.001684,0.017164,0.000000,0.000000,0.000000,-0.263646,0.000000,-0.182414,0.097963,0.000000
-0.016359,-0.074294,0.029390,0.001341,-0.004801,0.022239,0.000000,0.000000,0.000000,-0.426548,0.000000,-0.165220,0.056690,0.000000
-0.017588,-0.072586,0.024227,0.000265,-0.014721,0.027486,0.000000,0.000000,0.000000,-0.557145,0.000000,-0.159782,0.000000,0.000000
-0.018510,-0.070051,0.019182,-0.002907,-0.028906,0.033616,0.000000,0.000000,0.000000,-0.566460,0.000000,-0.007691,0.000000,0.000000
-0.019377,-0.067088,0.013782,-0.003786,-0.031351,0.033227,0.000000,0.000000,0.000000,-0.499087,0.000000,0.000000,0.088641,0.035243
-0.020059,-0.063965,0.008721,-0.004910,-0.036092,0.033699,0.000000,0.000000,0.000000,-0.447464,0.000000,0.000000,0.096074,0.286114
-0.020743,-0.059711,0.002701,-0.005378,-0.039735,0.032073,0.000000,0.000000,0.000000,-0.469239,0.011990,0.000000,0.000584,0.352285
-0.021314,-0.056259,-0.002426,-0.004600,-0.036941,0.031539,0.000000,0.000000,0.000000,-0.331895,0.003511,0.000000,0.000000,0.445580
-0.021889,-0.053081,-0.006970,-0.002904,-0.036871,0.030256,0.000000,0.000000,0.000000,-0.175929,0.000000,0.000000,0.000000,0.518376
-0.022507,-0.049797,-0.011684,-0.001964,-0.034967,0.028904,0.000000,0.000000,0.000000,-0.195340,0.000000,0.000000,0.000000,0.521553
-0.023047,-0.047015,-0.015664,-0.001040,-0.032166,0.026557,-0.034484,0.000000,0.000000,-0.176527,0.000000,0.000000,0.000000,0.548356
-0.023596,-0.044427,-0.019760,-0.000566,-0.023551,0.021849,-0.054228,0.000000,0.000000,-0.166362,0.000000,0.000000,0.000000,0.546502
-0.023997,-0.042184,-0.022481,0.000268,-0.024211,0.016717,-0.056715,0.017463,0.000000,-0.140846,0.000000,0.000000,0.000000,0.513006
-0.024290,-0.040151,-0.024434,0.000449,-0.024245,0.013014,-0.047409,0.022284,0.000000,-0.152996,0.000000,0.000000,0.000000,0.378770
-0.024508,-0.038292,-0.025879,0.000428,-0.020765,0.008893,-0.047425,0.079461,0.000000,-0.060613,0.000000,0.000000,0.000000,0.357507
-0.024779,-0.037128,-0.027143,0.001221,-0.010968,0.006729,-0.048671,0.047999,0.000000,-0.038326,0.000000,0.000000,0.000000,0.348389
-0.025013,-0.037165,-0.027905,0.001861,0.001245,0.005074,-0.044322,0.010821,0.000000,-0.045700,0.000000,0.000000,0.000000,0.275582
-0.025113,-0.037814,-0.027995,0.001063,0.007786,0.000553,-0.045990,0.000000,0.000000,-0.119254,0.000000,0.000000,0.000000,0.136412
-0.025098,-0.038756,-0.027528,0.000532,0.011636,-0.003113,-0.046583,0.000000,0.000000,-0.261090,0.000000,-0.007098,0.000000,0.000000
-0.025139,-0.040535,-0.026823,0.001300,0.017748,-0.003755,-0.014771,0.000000,0.000000,-0.293614,0.000000,-0.107728,0.000000,0.000000
-0.025225,-0.042773,-0.026203,0.001962,0.025975,-0.003812,0.000000,0.000000,0.000000,-0.291619,0.000000,-0.163548,0.000000,0.000000
-0.025227,-0.045142,-0.025354,0.001491,0.029618,-0.005657,0.000000,0.000000,0.000000,-0.370679,0.000000,-0.190755,0.000000,0.000000
-0.025111,-0.047564,-0.024129,0.000688,0.027591,-0.007531,-0.004917,0.000000,0.000000,-0.493743,0.000000,-0.257837,0.000000,0.000000
-0.024922,-0.050425,-0.022231,0.000974,0.027905,-0.010115,0.000000,0.000000,0.000000,-0.489690,0.000000,-0.327331,0.000000,0.000000
-0.024716,-0.053324,-0.020447,0.000994,0.035474,-0.011876,0.000000,0.000000,0.000000,-0.400871,0.000000,-0.321475,0.007938,0.000000
-0.024328,-0.056733,-0.018049,0.000168,0.038302,-0.014757,0.000000,0.000000,0.000000,-0.366067,0.000000,-0.362816,0.034409,0.000000
-0.023996,-0.059898,-0.015831,0.000830,0.038531,-0.014769,0.000000,0.000000,0.000000,-0.466297,0.000000,-0.506676,0.000000,0.000000
-0.023469,-0.063410,-0.013050,-0.000040,0.039244,-0.017102,0.000000,0.000000,0.000000,-0.481210,0.000000,-0.605693,0.000000,0.000000
-0.022769,-0.067397,-0.009673,-0.000260,0.038484,-0.017993,0.000000,0.000000,0.000000,-0.448956,0.000000,-0.554911,0.053503,0.000000
-0.022178,-0.070193,-0.006883,0.000006,0.033400,-0.018575,0.000000,0.000000,0.000000,-0.418051,0.000000,-0.592492,0.106985,0.000000
