x,y,psi,u,v,r,n1x,n1y,n2x,n2y,n3x,n3y,n4x,n4y
-0.046743,-0.118065,0.020202,0.008095,0.001753,-0.036581,0.000000,0.085550,-0.235363,0.000000,0.000000,-0.845658,0.000000,0.000000
-0.045189,-0.118899,0.025428,0.005018,0.001059,-0.034800,0.000000,0.092964,-0.224689,0.000000,0.000000,-0.994406,0.000000,0.000000
-0.043371,-0.119435,0.030920,0.002853,-0.002687,-0.033767,0.000000,0.000000,-0.104175,0.000000,0.000000,-0.936308,0.000000,0.000000
-0.041563,-0.118417,0.036060,0.001294,-0.017517,-0.027389,0.000000,0.000000,-0.010289,0.000000,0.000000,-0.868986,0.000000,0.000000
-0.040516,-0.116487,0.038574,-0.001304,-0.026734,-0.015443,0.000000,0.117006,-0.027376,0.000000,0.000000,-0.871098,0.006146,0.000000
-0.039795,-0.114765,0.039827,-0.003375,-0.024198,-0.008349,0.000000,0.253354,0.000000,0.000000,0.000000,-0.674641,0.065973,0.000000
-0.039355,-0.113096,0.039912,-0.004862,-0.019933,-0.000527,0.000000,0.025582,0.000000,0.000000,0.000000,-0.409207,0.010141,0.000000
-0.039315,-0.111621,0.038355,-0.006096,-0.013189,0.008301,0.000000,0.000000,0.000000,-0.181716,0.000000,-0.423589,0.000000,0.000000
-0.039618,-0.110121,0.035855,-0.007363,-0.015282,0.016653,0.000000,0.000000,0.000000,-0.236452,0.000000,-0.436803,0.000000,0.000000
-0.039625,-0.109080,0.033077,-0.011307,-0.008195,0.017081,0.000000,0.000000,0.000000,-0.442933,0.000000,-0.310689,0.000000,0.000000
-0.039662,-0.108094,0.029840,-0.013770,-0.007428,0.021563,0.000000,0.000000,0.000000,-0.586177,0.000000,-0.111801,0.000000,0.000000
-0.040121,-0.108501,0.024486,-0.013915,0.011204,0.028517,0.000000,0.000000,0.000000,-0.617181,0.000000,-0.213020,0.029083,0.000000
-0.040634,-0.108959,0.019281,-0.014918,0.013399,0.032025,0.000000,0.000000,0.000000,-0.668121,0.000000,-0.211393,0.037210,0.000000
-0.040940,-0.109939,0.014713,-0.016050,0.020168,0.030293,0.000000,0.000000,0.000000,-1.000000,0.024871,-0.187237,0.000000,0.000000
-0.041549,-0.111501,0.009265,-0.015087,0.027138,0.033614,0.000000,0.000000,0.000000,-1.000000,0.055285,-0.119763,0.000000,0.000000
-0.042037,-0.112433,0.003738,-0.014838,0.017184,0.029457,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.157168,0.125998,0.000000
-0.042127,-0.113005,0.000310,-0.014379,0.013264,0.022838,0.000000,0.000000,0.000000,-1.000000,0.009520,-0.158235,0.045249,0.000000
-0.042017,-0.113501,-0.002476,-0.013028,0.010317,0.017130,0.000000,0.000000,0.000000,-1.000000,0.001544,-0.121734,0.038692,0.000000
-0.041349,-0.114053,-0.003544,-0.013477,0.008920,0.007106,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.175475,0.116985,0.000000
-0.040004,-0.114412,-0.002994,-0.013632,0.003419,-0.003382,0.000000,0.000000,0.000000,-0.862311,0.000000,-0.249630,0.131070,0.000000
-0.037712,-0.114194,-0.000252,-0.013423,-0.005746,-0.014617,0.000000,0.000000,0.000000,-0.692421,0.000000,-0.383220,0.154526,0.000000
-0.035268,-0.113716,0.003640,-0.013446,-0.011977,-0.025922,0.000000,0.000000,0.000000,-0.474388,0.000000,-0.506342,0.172224,0.000000
-0.032094,-0.113189,0.009333,-0.013453,-0.013516,-0.034979,0.000000,0.191945,0.000000,-0.194397,0.000000,-0.593051,0.209696,0.000000
-0.029096,-0.112353,0.015107,-0.012101,-0.018004,-0.038488,0.000000,0.365528,0.000000,0.000000,0.000000,-0.721487,0.211836,0.000000
-0.025311,-0.109913,0.023028,-0.010086,-0.032194,-0.042207,0.000000,0.343140,0.000000,0.000000,0.000000,-0.904155,0.014038,0.000000
-0.022475,-0.107057,0.029320,-0.007818,-0.039578,-0.038673,0.000000,0.263121,0.000000,0.000000,0.000000,-0.906936,0.000000,0.000000
-0.020161,-0.103969,0.034821,-0.005916,-0.044515,-0.036654,0.000000,0.387485,0.000000,0.000000,0.000000,-0.763377,0.162089,0.000000
-0.017320,-0.101167,0.041241,-0.008784,-0.037810,-0.039443,0.000000,0.461064,0.000000,0.000000,0.000000,-0.640377,0.238875,0.000000
-0.014512,-0.097576,0.047478,-0.008465,-0.040236,-0.033240,0.000000,0.542360,0.000000,0.000000,0.000000,-0.653892,0.046095,0.000000
-0.012773,-0.094486,0.051196,-0.007699,-0.041862,-0.024777,0.000000,0.602815,0.000000,0.000000,0.000000,-0.870533,0.000000,0.000000
-0.011433,-0.091261,0.053706,-0.007058,-0.039434,-0.015431,0.000000,0.422023,0.000000,0.000000,0.000000,-0.752029,0.022788,0.000000
-0.010549,-0.088568,0.054843,-0.007180,-0.035178,-0.007575,0.000000,0.190168,0.000000,0.000000,0.000000,-0.484962,0.067749,0.000000
-0.010116,-0.085492,0.054135,-0.006475,-0.031403,0.003772,0.000000,0.146583,0.000000,0.000000,0.000000,-0.393879,0.081253,0.000000
-0.010173,-0.082594,0.051969,-0.006228,-0.033540,0.013310,0.000000,0.186841,0.000000,0.000000,0.000000,-0.407953,0.063826,0.000000
