#{"t_start": 1743348782.397692, "env_id": "milliAmpere1ROS_env/MilliAmpere1ROS-v2"}
r,l,t,target_pose
802.719314,1001,253.28664,[337.51395655 987.07276467  13.25492847]
808.260871,1001,506.538415,[331.20630913 988.50748234 -14.16291371]
