#{"t_start": 1743158972.6078072, "env_id": "milliAmpere1ROS_env/MilliAmpere1ROS-v2"}
r,l,t
-81.063573,174,46.771668
-213.182541,473,168.003195
-55.597552,110,198.47419
-247.669621,494,324.999043
-391.002648,1001,578.979029
-451.795862,1001,832.266572
-440.674158,886,1057.392234
-91.278319,195,1109.083568
-279.880786,570,1254.515037
-343.585132,722,1438.017146
-168.898343,347,1527.767974
-286.171864,569,1673.769128
-206.77536,417,1781.019558
-60.778885,114,1812.500756
-488.053418,1001,2065.772336
-226.543076,515,2199.019804
-150.710875,342,2287.519998
-59.681739,130,2323.001918
-224.515373,476,2445.025902
-84.761948,158,2487.514253
-78.124695,154,2529.013285
-69.352398,129,2564.244675
-46.527712,92,2590.187998
-216.635868,414,2698.388969
-350.955325,683,2872.039598
-134.246116,327,2956.785383
-105.715938,266,3026.283845
-118.053853,258,3093.783877
-127.092046,272,3165.698591
-64.56275,126,3200.145104
-46.979083,92,3226.066189
-88.082441,163,3269.791365
-108.010468,214,3326.287964
-132.909881,258,3393.789706
-87.133856,173,3440.032502
-124.980767,269,3510.291202
-141.804046,419,3618.054533
-229.11113,438,3732.316965
-143.383217,289,3807.551402
-67.147567,145,3846.782742
-148.944115,297,3924.039294
-407.668775,937,4161.308771
-98.574456,217,4218.552523
-104.69044,205,4274.062567
-153.172442,345,4363.308099
-127.753678,263,4432.060547
-129.40485,258,4499.555917
-162.418086,312,4580.557209
-118.605981,247,4645.305555
-89.658223,161,4688.546776
-140.726226,311,4769.303073
-89.878436,172,4816.215373
-68.329937,179,4863.925901
-58.869802,158,4906.334139
-104.199128,192,4957.310875
-36.661183,80,4980.277139
-99.507104,254,5046.735594
-155.765636,312,5127.702497
-75.864544,162,5171.156877
-76.115021,227,5230.814297
-142.129562,280,5303.817091
-185.647633,410,5410.565592
-134.830833,279,5483.315085
-118.432098,223,5542.062071
-224.422321,528,5677.069596
-103.67629,202,5730.560902
-151.02583,291,5806.315098
-106.52808,267,5877.346004
-127.736572,292,5953.323555
-140.957132,339,6041.075454
-95.494619,186,6090.559395
-88.007966,176,6137.541651
-53.685593,114,6168.991793
-135.695471,267,6238.700306
-67.207186,136,6275.649745
-53.443729,102,6304.078539
-56.468907,136,6341.062608
-96.048642,199,6395.601287
-88.643974,163,6439.321495
-61.297372,158,6481.808563
-144.687253,286,6556.315885
-68.682138,133,6592.542223
-91.834552,221,6650.741053
-100.70022,212,6706.708806
-124.749748,257,6773.930034
-82.776055,164,6817.839408
-93.897946,183,6866.562409
-157.760799,306,6946.567439
-61.220476,135,6983.299685
-44.761537,115,7014.995945
-110.030138,225,7074.205698
-62.820732,161,7117.408867
-85.389618,156,7159.330332
-45.646776,107,7189.06402
-177.373757,366,7283.578514
-75.760317,169,7328.813448
-84.945089,162,7372.30734
-105.971398,206,7426.770184
-95.597732,242,7491.775924
-65.441561,133,7527.969642
-61.844114,120,7560.919708
-59.978794,119,7593.58925
-120.915655,259,7661.326087
-100.958465,188,7711.317479
-55.238595,112,7742.303761
-189.167245,391,7843.077215
-83.810289,188,7893.068646
-96.728719,234,7954.570529
-90.822562,214,8011.07241
-44.326063,98,8039.866488
-87.035865,183,8088.576493
-74.521375,150,8129.066746
-79.922664,161,8172.290224
-125.013171,255,8238.996015
-93.338543,202,8292.443511
-57.635436,136,8329.351492
-44.63284,88,8354.314075
-42.103355,95,8381.034133
-38.243949,69,8401.229209
-33.783399,66,8420.677896
-184.653678,366,8515.085388
-75.386197,178,8562.574755
-67.063976,127,8598.263628
-94.565909,179,8645.968028
-75.479617,140,8683.914732
-154.263883,295,8760.594906
-93.767342,197,8812.834199
-66.112471,130,8848.318558
-114.882406,249,8913.572174
-71.048902,140,8951.516006
-121.365976,251,9017.240222
-100.758399,200,9070.212991
-76.193264,176,9117.131573
-56.761707,107,9148.577747
-72.578887,131,9184.289205
-52.876499,112,9215.247178
-100.184541,202,9268.698907
-72.05361,150,9309.111897
-40.040571,126,9343.589277
-34.980499,83,9367.314255
-46.494783,117,9399.526741
-94.814189,185,9448.740655
-77.616109,153,9489.944294
-89.153986,185,9539.100844
-63.333269,131,9574.829125
-135.602243,322,9658.344989
-44.962426,98,9686.732919
-70.886468,206,9741.192214
-50.302018,96,9768.117662
-60.459017,124,9802.093052
-78.742969,204,9856.094548
-70.289366,155,9897.835498
-47.154583,107,9927.560917
-128.597134,277,9999.789915
-62.599118,117,10031.993891
-44.445306,110,10062.45042
-54.133663,145,10101.615011
-63.317375,149,10141.851672
-98.165672,190,10192.348426
-43.381553,108,10222.327441
-38.310781,75,10245.607155
-42.445799,92,10271.578652
-58.31569,124,10305.541905
-42.198512,108,10335.49545
-92.78405,184,10384.450267
-81.158571,157,10426.611752
-37.147805,86,10451.090572
-54.888827,135,10487.93717
-32.556159,59,10505.659241
-33.99213,61,10523.909273
-47.686025,90,10549.354877
-49.914647,103,10578.113737
-32.379345,78,10600.580215
-77.269351,184,10649.532062
-71.51581,147,10689.237133
-60.537614,115,10720.933415
-71.351307,152,10761.854346
-49.096984,106,10791.346872
-34.854407,64,10811.911641
-37.885758,84,10835.85796
-56.215053,119,10868.578895
-44.821033,110,10899.028908
-62.877423,126,10933.476882
-50.381732,103,10962.160781
-81.109646,177,11009.359164
-59.51106,117,11041.593199
-47.004711,105,11070.806099
-69.90713,151,11111.50787
-36.874488,73,11132.711248
-33.354695,78,11155.144778
-90.492939,179,11202.858231
-48.268227,127,11237.59688
-65.24474,126,11272.074833
-34.909709,88,11297.017387
-52.074213,155,11338.725522
-56.10706,136,11376.943122
-65.963446,131,11412.618634
-60.768207,134,11449.102522
-54.297096,113,11480.329931
-11.136638,136,11517.282518
-50.523332,95,11543.981486
-46.931775,108,11573.906854
-31.935355,77,11596.108816
-60.501514,123,11629.834577
-37.831979,84,11653.779377
-158.05131,310,11734.255269
-93.273059,197,11786.461458
-88.387098,185,11835.630035
-55.710419,108,11865.605915
-54.546436,110,11896.07971
-89.920701,175,11944.117361
-74.617917,142,11982.607042
-31.973183,74,12004.081045
-29.275373,62,12022.530006
-53.247822,103,12051.237339
-39.313879,90,12076.684293
-52.967331,105,12105.867421
-24.322241,52,12121.836861
-90.186784,205,12176.056169
-57.822305,126,12210.503462
-29.374992,66,12229.96361
-76.05142,169,12275.131127
-55.948744,128,12310.109639
-29.757357,66,12329.577575
-34.974405,65,12348.774484
-41.06691,105,12377.992152
-50.567133,121,12411.201139
-47.158817,93,12437.378756
-29.347455,70,12457.847459
-52.165773,104,12486.796486
-21.510432,41,12500.611642
-83.543038,195,12552.360948
-74.255762,156,12594.361088
-64.34013,131,12630.112302
-48.375101,93,12656.339997
-78.946263,155,12698.050041
-41.152995,87,12722.759457
-31.343223,66,12742.211709
-26.238028,65,12761.399535
-43.5315,99,12789.115442
-31.307376,77,12811.334733
-39.020032,77,12833.533046
-74.967228,153,12874.733989
-61.785072,116,12906.654052
-26.419006,51,12922.357953
-53.849839,105,12951.561243
-47.227198,96,12978.512985
-44.030209,75,13000.217754
-40.141352,79,13022.895773
-67.590076,132,13060.319422
-36.803825,73,13081.518401
-40.722005,77,13103.718939
-30.744679,75,13125.405113
-34.288628,73,13146.620451
-23.159093,52,13162.577722
-49.743005,113,13193.784494
-30.930115,63,13212.48342
-56.073235,146,13251.906107
-66.44554,131,13287.623803
-53.058545,102,13316.100979
-54.921645,109,13346.306877
-21.678133,50,13361.761399
-35.69032,87,13386.466626
-38.649301,91,13412.145504
-41.429165,86,13436.616536
-46.812108,106,13466.099228
-42.382641,87,13490.8023
-61.222923,127,13525.504924
-42.246274,76,13547.471719
-38.30788,77,13569.654624
-25.415992,60,13587.620017
-26.549233,53,13603.83527
-45.868128,99,13631.540354
-82.98115,167,13677.3939
-39.462563,81,13700.608584
-22.868186,55,13717.30605
-35.078214,68,13737.253528
-41.947323,84,13761.184589
-32.075218,95,13787.878264
-49.664452,108,13817.859302
-44.3156,85,13842.053919
-33.192949,75,13863.751274
-30.500695,63,13882.425883
-43.959777,89,13907.631696
-50.301078,115,13939.36159
-53.577705,103,13968.0556
-34.697425,86,13992.505424
-35.730178,91,14018.180463
-41.438222,82,14041.631579
-56.86034,136,14078.62333
-39.607709,80,14101.561276
-41.032748,81,14124.757949
-42.052518,98,14152.182559
-24.646946,64,14171.132412
-50.949692,98,14198.603189
-55.33315,115,14231.217393
-32.608969,84,14255.150171
-32.62793,90,14280.619641
-65.570095,161,14323.820782
-25.28383,72,14344.764335
-81.385709,157,14386.928619
-26.30686,62,14405.384154
-48.784327,115,14437.10785
-36.492444,84,14461.057559
-33.852258,86,14485.507651
-28.757584,72,14506.4483
-46.727689,85,14530.63766
-34.51355,80,14553.61773
-35.26387,91,14579.308953
-32.412569,62,14597.750522
