r,l,t,target_pose
4.932667,1001,253.295035,[ 333.71447201  990.23773038 -134.65979144]
11.0667,1001,506.76401,[329.74112803 991.98753944 -48.33522708]
-3.319733,1001,760.226201,[331.01869686 994.72756462  82.40612148]
9.350411,1001,1013.551513,[330.53134072 989.68858268 121.10286159]
4.161228,1001,1267.033134,[331.55875145 987.90633046  35.0823435 ]
