#{"t_start": 1744790023.64959, "env_id": "milliAmpere1ROS_env/MilliAmpere1ROS-v12"}
r,l,t
-219.474976,293,74.00574
-298.675936,470,191.54555
-177.626941,194,240.038898
-180.528363,193,288.30318
-174.358773,179,333.056369
-247.220554,312,411.103435
-152.325472,127,442.863603
-226.539592,280,512.901314
-293.136349,432,621.689863
-420.215596,1001,872.081494
-183.28921,217,926.366103
-126.336397,65,942.626804
-412.027929,1001,1193.773497
-157.992762,134,1227.293962
-273.445491,468,1344.304761
-260.508729,369,1436.547709
-255.422901,383,1532.298836
-426.734192,1001,1783.298533
-319.165726,541,1918.596771
-228.032938,313,1996.898409
-365.75426,685,2169.005571
-323.229338,563,2309.797266
-281.365505,451,2422.560891
-388.181289,1001,2673.560135
-170.845598,152,2711.557347
-364.23522,754,2900.060354
-221.59053,313,2978.316966
-504.582387,1000,3229.189592
-168.656293,165,3270.457392
-123.283485,51,3283.217052
-379.830723,1001,3533.558771
-283.952411,464,3650.351101
-389.111246,1001,3900.74132
-401.928731,1001,4151.820211
-392.589701,1001,4402.073224
-379.685607,1001,4653.073851
-345.252441,633,4811.475915
-285.049848,475,4930.296451
-386.25805,1001,5181.380126
-246.329465,398,5280.941366
-353.818009,1001,5531.319857
-283.829239,441,5641.578925
-379.827874,728,5824.326895
-340.163042,1001,6074.580024
-330.192944,1001,6325.694751
-360.362593,739,6510.800114
-377.576837,1001,6761.835781
-317.334019,1001,7012.085187
-309.009786,1001,7263.109121
-325.60446,1001,7513.486886
-315.975956,1001,7764.593152
-325.905419,701,7939.850659
-326.947987,1001,8190.281146
-262.121469,1001,8441.342923
-306.558705,1001,8691.591249
-289.905482,1001,8942.724305
-263.564506,525,9074.033608
-312.519727,1001,9325.172999
-290.827307,1001,9575.559208
-307.215583,1001,9826.598263
-368.991435,977,10070.911318
-232.303562,473,10189.232791
-112.088081,41,10199.487849
-237.65508,1001,10450.60461
-322.710195,1001,10700.859476
-284.12576,1001,10951.960452
-282.002777,1001,11202.368774
-280.615262,1001,11453.367549
-268.19752,1001,11703.617447
-260.851369,1001,11954.621199
-242.571411,1001,12204.981819
-262.670963,1001,12456.121307
-268.907107,1001,12706.369356
-240.061396,1001,12957.373624
-295.863111,1001,13207.621903
-241.987358,1001,13458.627299
-212.976279,1001,13708.876873
-242.124067,1001,13959.958437
-257.426637,1001,14210.352056
-205.678706,1001,14461.384605
-233.729899,1001,14711.638078
-228.387163,1001,14962.631294
-187.471371,1001,15212.984361
-222.852287,1001,15464.133197
-222.324911,1001,15714.385759
-198.041962,1001,15965.390791
-207.993312,1001,16215.639117
-179.656914,1001,16466.786152
-160.256176,1001,16717.144691
-183.85233,1001,16968.142295
-183.852415,1001,17218.459017
-168.827116,1001,17469.590023
-117.538944,1001,17719.896975
-145.516861,1001,17970.884054
-144.743338,1001,18221.153856
-174.944151,1001,18472.150852
-114.934811,1001,18722.405429
-79.453544,1001,18972.654865
-113.400828,1001,19223.753188
-103.166711,1001,19474.135524
-115.321275,1001,19725.224355
-93.359956,1001,19975.617556
