r,l,t,target_pose
321.21789,1001,253.301206,[  2.73956049  -0.6112156  129.09525117]
448.675892,1001,506.78872,[   1.52299263   -4.56224676 -172.78934873]
224.898789,1001,760.291745,[ -3.7743449   -2.41886925 -33.92253798]
226.055229,1001,1013.772284,[ 0.73130657  0.28491145 94.91408633]
399.778409,1001,1267.248211,[  4.05604277  -4.22773207 -81.87488787]
