r,l,t,target_pose
663.930933,1001,253.30632,[ 336.96192619  986.20537018 -122.59228333]
640.247312,1001,506.79772,[ 330.42933192  992.39408036 -121.06976966]
675.864577,1001,760.286771,[330.3436142  985.69399082  29.49712598]
672.208471,1001,1013.770451,[339.46036781 992.7638007  104.43975704]
745.000893,1001,1267.06141,[ 332.668832    988.77625221 -176.31080077]
