r,l,t,target_pose
-158.30822,557,142.261462,[334.86636241 989.88662849  50.10622064]
-124.880377,306,221.771482,[333.17326242 986.26848979 100.96468072]
-139.035598,513,353.021579,[329.83405177 993.95598226 130.45861607]
-292.718773,1001,606.274194,[338.49422362 991.5500282   69.98084062]
-289.624296,1001,859.529012,[339.44227903 989.87268503 -66.04250879]
