r,l,t,target_pose
-291.745863,1001,253.303764,[330.73093715 988.66020331 -76.95388966]
-214.903279,1001,506.740384,[338.85994459 991.05642378  81.20201165]
-322.524449,1001,760.212696,[333.64123149 989.81413616 151.77116833]
-204.979106,1001,1013.562784,[331.7855298  989.39665505  -7.88479856]
-122.652671,1001,1267.013906,[332.58081164 985.96870975  69.89759745]
