#{"t_start": 1743173637.942782, "env_id": "milliAmpere1ROS_env/MilliAmpere1ROS-v2"}
r,l,t
-523.380269,916,232.318661
-500.530153,763,426.065594
-399.932643,611,582.800431
-195.272969,200,635.788535
-329.348177,475,757.546803
-357.713362,1001,1010.81878
-426.917588,1001,1264.798622
-465.86402,785,1464.073611
-347.207961,613,1621.703824
-281.57823,360,1714.667738
-306.148564,553,1855.830818
-457.847628,1001,2109.813006
-472.303289,1001,2363.086226
-156.328726,101,2391.314265
-391.40341,589,2541.581924
-201.9577,228,2601.576786
-209.700933,213,2658.684439
-478.795709,1001,2911.834118
-452.173798,749,3102.097194
-182.261986,193,3154.219291
-453.443921,1001,3407.491149
-479.224087,1001,3661.169116
-413.2322,1001,3914.350751
-414.278381,664,4083.353319
-427.678331,1001,4337.856814
-480.149382,1001,4591.106457
-491.982494,822,4800.858754
-508.99059,1001,5054.113124
-266.401536,357,5146.357548
-301.709689,398,5250.094814
-304.639097,531,5385.862986
-340.322167,534,5522.360764
-506.122063,887,5747.688712
-479.363351,1001,6000.867939
-480.196263,1001,6254.114959
-431.857703,1001,6508.113019
-418.273667,743,6696.869332
-190.401076,206,6751.358335
-463.686053,1001,7005.369717
-471.498297,1001,7258.623515
-461.628258,799,7463.125666
-472.778935,1001,7716.37811
-458.162814,1001,7971.028509
-417.265741,1001,8224.29282
-381.227585,1001,8478.881611
-473.997832,1001,8732.140881
-458.21219,1001,8986.734611
-186.650571,164,9030.650554
-453.395854,1001,9283.898094
-223.747441,242,9347.382421
-165.280088,302,9427.376745
-389.516792,651,9593.148407
-487.508255,849,9808.406074
-426.056894,664,9978.56132
-447.360353,1001,10231.824351
-457.254898,1001,10486.57877
-420.854514,635,10648.310803
-464.784537,782,10846.815359
-388.2248,603,11001.66583
-354.295878,532,11137.667861
-428.759276,688,11312.669148
-173.832906,132,11348.650169
-245.525569,347,11438.400642
-215.43549,235,11501.399589
-200.035022,220,11559.389975
-519.652379,822,11767.928389
-380.038701,547,11907.678705
-224.658262,282,11981.165709
-489.506733,754,12173.4307
-304.591178,412,12279.428647
-164.230848,124,12313.402128
-219.194424,244,12377.354341
-457.227491,1001,12631.523675
-235.322592,292,12707.432756
-289.997467,423,12816.183684
-162.591487,128,12851.158611
-436.170234,1001,13105.433597
-465.569538,1001,13358.687846
-453.560579,1001,13612.945731
-478.736041,1001,13866.197717
-445.431845,1001,14121.29264
-437.235203,1001,14374.453534
-296.145138,419,14482.199929
-414.511643,1001,14737.174159
-432.250411,1001,14990.456455
-399.052263,1001,15245.352292
-190.586701,174,15291.800472
-417.920312,1001,15544.9594
-450.985884,1001,15799.660793
-365.308514,1001,16052.959138
-417.634334,1001,16307.968228
-419.334525,1001,16561.22154
-418.269498,1001,16816.335356
-418.428833,1001,17069.474654
-400.99548,1001,17324.332707
-380.786325,1001,17577.472973
-240.345064,289,17652.717651
-434.913071,1001,17906.620404
-397.772086,1001,18159.897065
-436.615735,1001,18414.234943
-380.901632,657,18581.487108
-429.248254,757,18773.736974
-407.804614,1001,19028.23183
-424.834428,1001,19281.487812
-419.476915,1001,19536.241552
-369.189962,1001,19789.491505
-471.187641,1001,20043.672432
-262.409826,359,20136.396406
-400.769055,1001,20390.677599
-430.250626,1001,20643.978407
-418.46928,1001,20898.597034
-406.443783,1001,21151.75517
-424.400391,1001,21405.988304
-385.755352,1001,21659.261194
-425.666721,1001,21913.508574
-409.79511,1001,22166.761354
-410.666792,1001,22420.957819
-281.482626,490,22546.435506
-425.867428,1001,22799.748779
-346.719324,542,22940.077891
-343.923025,1001,23193.258663
-366.742616,1001,23446.50504
-423.206144,1001,23701.005777
-366.130793,1001,23954.251426
-378.999551,1001,24209.007644
-399.262721,1001,24462.258122
-400.372304,1001,24717.263412
-373.395362,1001,24970.525806
-468.72537,967,25216.017506
-375.527289,1001,25469.284534
-347.866517,1001,25723.937615
-339.255349,1001,25977.194696
-288.539008,456,26095.280477
-371.137973,1001,26348.548386
-372.238667,1001,26602.541949
-326.332455,1001,26855.804314
-372.935282,1001,27110.169274
-314.953465,549,27250.309641
-382.826874,751,27441.064264
-194.796986,289,27516.304832
-357.498297,1001,27771.06303
-176.057651,191,27821.797749
-313.852386,1001,28075.067746
-348.821662,1001,28329.571404
-323.881389,1001,28582.823469
-416.169016,1001,28837.084294
-141.427482,101,28865.307191
-302.625793,1001,29118.580326
-290.257799,1001,29372.83492
-400.537637,864,29591.840031
-389.03283,1001,29846.588815
-302.706529,572,29992.593703
-281.295466,1001,30246.589698
-331.548202,1001,30499.851705
-182.795858,301,30578.095187
-248.319155,396,30680.095106
-326.272155,1001,30934.096045
-319.905544,1001,31187.35317
-426.658668,992,31438.857441
-307.132492,1001,31692.107832
-276.23915,1001,31946.612062
-306.164687,1001,32199.859929
-319.438043,1001,32453.864326
-301.448943,1001,32707.116714
-279.260174,1001,32961.369956
-332.553127,1001,33214.618429
-314.039222,1001,33469.367934
-193.632785,1001,33722.626713
-212.824047,1001,33977.632603
-284.186337,1001,34230.882469
-282.657548,1001,34484.727473
-245.135833,1001,34737.886438
-300.209374,1001,34992.040243
-209.409101,1001,35245.315223
-275.345002,1001,35500.146319
-269.82934,1001,35753.395729
-244.221259,1001,36008.250466
-172.388388,1001,36261.40063
-126.154345,1001,36515.742647
-238.256289,1001,36768.906686
-224.628559,1001,37023.240525
-277.850237,1001,37276.403478
-165.404168,1001,37530.904105
-199.414683,1001,37784.155791
-205.013885,1001,38038.728218
-244.390637,1001,38291.913298
-259.215948,1001,38546.284434
-250.099839,1001,38799.565601
-196.240067,1001,39052.83212
-148.595973,1001,39307.41675
-148.635571,1001,39560.678927
-192.042932,1001,39815.678389
-186.004036,1001,40068.928009
-236.564472,1001,40323.436829
-139.865958,1001,40576.684369
-132.291154,1001,40831.180233
-69.358427,1001,41084.442422
-146.556268,1001,41338.601001
-108.378803,1001,41591.931537
-124.221427,1001,41846.352599
-134.155333,1001,42099.640936
-182.873386,1001,42353.713414
-131.32975,1001,42606.965474
-118.195043,1001,42860.970673
-116.062034,1001,43114.224253
-2.37356,1001,43368.226555
-111.93821,1001,43621.475535
-146.370007,1001,43875.620391
-69.884668,1001,44128.88573
-136.747805,1001,44383.143996
-136.744333,1001,44636.422677
-67.693922,1001,44890.488248
-82.671469,1001,45143.737521
-72.044312,1001,45397.988429
-19.223772,1001,45651.246315
-103.945247,1001,45906.652856
-97.107464,1001,46159.979582
-27.593639,1001,46414.72527
-18.655075,1001,46668.002435
41.487241,1001,46922.953207
35.981475,1001,47176.25781
118.61336,1001,47431.112223
16.265886,1001,47684.265275
41.566804,1001,47938.767349
53.073895,1001,48192.019572
66.344861,1001,48446.273165
68.909236,1001,48699.5263
81.957144,1001,48953.779434
22.633042,1001,49207.031442
50.690146,1001,49461.134252
178.801218,1001,49714.28117
83.125542,1001,49969.640842
146.55843,1001,50222.785573
107.260155,1001,50476.03374
206.679963,1001,50730.038452
228.151704,1001,50983.287678
119.968828,1001,51238.020965
152.335157,1001,51491.290974
66.262199,1001,51745.290697
215.118991,1001,51998.542315
176.571107,1001,52252.794445
44.111437,1001,52506.044624
185.906311,1001,52760.276644
202.944973,1001,53013.547297
95.224983,1001,53268.473643
196.405665,1001,53521.799834
154.754472,1001,53776.811313
283.951731,1001,54030.058044
215.128068,1001,54284.811265
188.057249,1001,54538.063415
330.50757,1001,54792.77002
201.82518,1001,55046.069799
151.975465,1001,55301.573625
272.868097,1001,55554.825021
287.404544,1001,55809.324509
284.946879,1001,56062.577666
193.126895,1001,56316.825254
309.615703,1001,56570.079323
280.737425,1001,56824.56397
308.527705,1001,57077.835309
271.970443,1001,57332.563345
271.544295,1001,57585.837649
308.617664,1001,57840.760746
297.580502,1001,58094.058399
348.692364,1001,58348.784442
332.363364,1001,58602.091863
333.133502,1001,58856.843892
291.05541,1001,59110.100593
331.400837,1001,59364.83972
398.959711,1001,59618.102113
317.890548,1001,59872.993544
344.788484,1001,60126.261648
333.340736,1001,60380.337771
361.233185,1001,60633.607914
336.460402,1001,60887.42317
420.873318,1001,61140.611396
359.488548,1001,61394.933232
427.706109,1001,61648.113478
417.001465,1001,61901.36485
414.482441,1001,62155.255147
398.957438,1001,62408.529395
410.985742,1001,62663.122614
418.294347,1001,62916.374938
418.237408,1001,63170.878572
448.138452,1001,63424.130056
411.190389,1001,63678.61028
482.760841,1001,63931.880271
448.931214,1001,64186.369209
487.404038,1001,64439.636184
440.736926,1001,64694.38868
443.054686,1001,64947.641083
455.290595,1001,65202.38977
480.92202,1001,65455.641066
461.863673,1001,65710.287385
501.995626,1001,65963.566774
474.648116,1001,66218.030125
459.923969,1001,66471.299993
497.47994,1001,66725.651175
485.347648,1001,66978.907503
481.212602,1001,67233.79857
487.491056,1001,67487.110951
476.267559,1001,67741.910734
500.968736,1001,67995.163355
450.165483,1001,68249.91231
487.625304,1001,68503.166211
494.210796,1001,68758.060786
473.609253,1001,69011.329811
488.155452,1001,69265.918827
541.878142,1001,69519.176671
516.657262,1001,69774.032282
508.201324,1001,70027.178814
468.007709,1001,70282.181776
487.255533,1001,70535.434052
485.440901,1001,70790.079434
511.95716,1001,71043.35075
483.115116,1001,71297.672341
531.372816,1001,71550.939041
509.943774,1001,71805.423033
546.649079,1001,72058.691522
526.835868,1001,72313.084648
548.77854,1001,72566.349387
556.807611,1001,72820.599741
539.580218,1001,73073.902207
538.265465,1001,73327.196639
586.370368,1001,73581.20329
529.368679,1001,73834.454982
505.846135,1001,74088.962393
553.502581,1001,74342.212126
553.306063,1001,74596.698773
570.51981,1001,74849.967023
556.719614,1001,75103.968584
