#{"t_start": 1743173637.942782, "env_id": "milliAmpere1ROS_env/MilliAmpere1ROS-v2"}
r,l,t
548.796461,1001,75357.216974
559.586361,1001,75611.396658
550.194001,1001,75864.715508
514.803984,1001,76118.857644
571.467058,1001,76372.137493
604.711811,1001,76626.650493
547.033999,1001,76879.978049
558.647924,1001,77134.738092
567.952831,1001,77387.989295
579.118928,1001,77642.159302
571.009125,1001,77895.436144
575.316433,1001,78150.142243
549.974607,1001,78403.406733
589.518312,1001,78657.753711
569.122795,1001,78911.002856
563.344546,1001,79165.509976
589.402739,1001,79418.756902
580.243749,1001,79672.74979
592.97353,1001,79926.011173
605.225144,1001,80180.674339
571.497637,1001,80433.945255
560.056222,1001,80688.132494
592.066658,1001,80941.273293
577.25801,1001,81195.770502
562.635542,1001,81449.023427
589.133641,1001,81703.279391
586.249538,1001,81956.530143
618.87246,1001,82210.655548
582.373019,1001,82463.916076
579.63818,1001,82718.203058
593.972936,1001,82971.527893
592.329444,1001,83225.759764
583.901547,1001,83479.048562
570.195946,1001,83733.948921
640.050074,1001,83987.227948
601.28718,1001,84241.243632
589.771978,1001,84494.559387
612.422553,1001,84747.814641
592.21355,1001,85001.818331
622.112315,1001,85255.070451
592.53363,1001,85509.570716
617.606256,1001,85762.82627
613.204742,1001,86016.823874
605.955407,1001,86270.073806
577.236416,1001,86524.07821
608.164936,1001,86777.330683
584.625932,1001,87031.22465
613.08708,1001,87284.482011
625.632356,1001,87538.33387
605.353546,1001,87791.586852
610.988819,1001,88046.094266
609.366183,1001,88299.344359
637.993092,1001,88553.847564
615.58481,1001,88807.098828
627.545823,1001,89061.451293
624.01329,1001,89314.606395
623.626878,1001,89569.358667
614.881147,1001,89822.610997
600.50531,1001,90077.070621
615.727264,1001,90330.36191
602.607773,1001,90584.618591
628.572845,1001,90837.866157
615.907407,1001,91092.364486
626.40328,1001,91345.61949
647.328944,1001,91599.867538
629.905321,1001,91853.122858
617.885079,1001,92107.607619
635.039849,1001,92360.87982
644.966647,1001,92615.383297
631.196043,1001,92868.633878
649.868765,1001,93123.136248
656.091767,1001,93376.38376
640.803451,1001,93630.390905
640.903668,1001,93883.642879
632.326635,1001,94137.461589
639.528546,1001,94390.650537
636.451706,1001,94644.917407
651.022045,1001,94898.147453
635.895666,1001,95152.545778
657.381398,1001,95405.818036
645.458728,1001,95659.07993
655.943624,1001,95912.910058
615.767164,1001,96166.160474
643.641781,1001,96420.419549
666.845475,1001,96673.667342
666.834539,1001,96927.666302
646.126156,1001,97180.920133
662.809626,1001,97435.672939
648.716591,1001,97688.927303
634.149858,1001,97943.577744
658.625522,1001,98196.858733
669.739218,1001,98451.308959
652.022256,1001,98704.589585
645.421696,1001,98958.847198
672.262411,1001,99212.103155
658.255338,1001,99466.697927
653.297551,1001,99719.945841
678.455811,1001,99974.842928
693.55697,1001,100228.109681
667.572293,1001,100482.205617
673.819482,1001,100735.457571
671.22286,1001,100990.459433
671.898836,1001,101243.710769
658.362081,1001,101497.71414
685.307721,1001,101750.967788
665.793671,1001,102005.324509
659.797901,1001,102258.47331
660.133047,1001,102512.471333
689.969384,1001,102765.723267
647.798863,1001,103020.226186
659.898305,1001,103273.477941
688.758514,1001,103528.436605
698.461776,1001,103781.730661
696.881066,1001,104036.482916
675.618356,1001,104289.736902
684.006749,1001,104544.066352
673.749311,1001,104797.240489
654.093782,1001,105051.843824
677.675321,1001,105304.991877
693.673097,1001,105559.122616
699.00147,1001,105812.401768
675.531039,1001,106066.729398
698.796685,1001,106319.997454
694.367172,1001,106574.044979
684.911054,1001,106827.244581
698.661384,1001,107080.499639
697.170666,1001,107334.498868
698.484794,1001,107587.752628
642.49101,1001,107842.254085
692.787021,1001,108095.509943
664.360074,1001,108349.756932
677.793496,1001,108603.007626
663.419611,1001,108856.761849
693.486388,1001,109110.016794
705.517424,1001,109363.912697
691.717205,1001,109617.179096
683.610303,1001,109872.02483
667.7581,1001,110125.277499
689.706974,1001,110379.528839
696.181499,1001,110632.782587
690.049366,1001,110886.954638
675.932052,1001,111140.270992
673.22888,1001,111394.53418
703.614107,1001,111647.788633
664.49377,1001,111902.220015
671.262843,1001,112155.545044
667.35963,1001,112409.900928
707.471262,1001,112663.051614
690.153792,1001,112917.051454
691.012293,1001,113170.304581
687.609437,1001,113424.182493
670.917398,1001,113677.456786
688.067664,1001,113931.412229
697.207133,1001,114184.561985
684.925728,1001,114439.01295
683.729212,1001,114692.314068
705.341133,1001,114946.70623
706.348901,1001,115199.973752
697.286121,1001,115453.986576
692.416708,1001,115707.311562
673.038536,1001,115961.785553
683.308478,1001,116215.079716
692.96327,1001,116468.828167
708.902601,1001,116722.0826
713.249068,1001,116977.124297
692.738521,1001,117230.34448
674.461304,1001,117484.312537
727.559471,1001,117737.595222
694.928024,1001,117992.115781
721.453365,1001,118245.352578
713.355144,1001,118498.602314
709.913551,1001,118753.357162
714.012339,1001,119006.610106
687.133269,1001,119261.615682
704.144331,1001,119514.867073
697.000639,1001,119769.543961
692.738163,1001,120022.851698
688.520319,1001,120277.62334
681.776422,1001,120530.877241
725.056679,1001,120785.115117
713.272061,1001,121038.378601
692.917049,1001,121292.130634
725.983152,1001,121545.384692
695.69031,1001,121799.885007
678.194315,1001,122053.133446
694.949958,1001,122307.638755
674.150497,1001,122560.890322
683.966079,1001,122815.642569
711.915089,1001,123068.895231
709.037196,1001,123323.143198
712.388105,1001,123576.394797
701.084802,1001,123830.809065
698.722841,1001,124084.124801
716.703667,1001,124338.530378
703.324033,1001,124591.806081
688.102075,1001,124846.260678
701.923475,1001,125099.400863
696.564359,1001,125353.407506
738.417826,1001,125606.658703
700.327605,1001,125861.661198
690.827512,1001,126114.913387
670.696761,1001,126369.665332
701.651214,1001,126622.916437
728.604082,1001,126877.66301
715.851735,1001,127130.921714
