#{"t_start": 1744617768.4790337, "env_id": "milliAmpere1ROS_env/MilliAmpere1ROS-v11"}
r,l,t
-161.286574,1001,250.773324
-165.393943,294,324.274286
-189.896445,370,416.773231
-140.774318,395,516.267211
-146.274914,203,567.025994
-114.897185,60,582.025591
-131.926698,135,615.774145
-192.391844,518,745.275779
-209.485647,536,879.276408
-175.572515,353,967.527423
-201.814966,1001,1218.528597
-87.056616,228,1275.53134
-228.096553,705,1451.780668
-167.824995,1001,1702.782838
-245.635668,720,1882.780908
-273.547321,765,2074.782988
-154.363597,219,2129.534489
-113.866041,57,2143.782644
-128.807218,126,2175.286087
-217.620532,1001,2425.535996
-145.586322,321,2505.785755
-114.010167,60,2520.786762
-138.415817,245,2582.760771
-170.719045,497,2707.068878
-120.496661,119,2736.96626
-128.35216,121,2767.423638
-168.943455,338,2853.944839
-177.931658,1001,3105.002769
-119.35455,79,3124.761548
-191.256929,1001,3375.045461
-135.355577,329,3457.297083
-194.995164,1001,3708.294327
-191.014777,1001,3958.546555
-165.598978,1001,4209.549061
-290.848256,998,4459.050174
-195.362373,1001,4710.044817
-188.622215,1001,4960.308996
-202.496791,1001,5211.311476
-157.500244,376,5305.312649
-219.933888,542,5440.812875
-206.40043,1001,5691.813571
-195.061098,389,5789.068113
-163.948938,1001,6039.320338
-158.58608,1001,6290.322208
-189.479481,1001,6540.57451
-137.498068,1001,6791.57659
-242.37266,835,7000.329403
-140.451475,1001,7251.326964
-167.195237,1001,7501.582912
-242.613211,862,7717.832999
-154.326122,1001,7968.088007
-193.191918,1001,8219.087334
-202.722498,674,8387.590359
-122.270483,1001,8637.840715
-133.442142,1001,8888.844582
-121.616502,1001,9139.09783
-144.797461,1001,9390.098692
-169.983733,1001,9640.351903
-144.11524,1001,9891.355577
-92.818506,1001,10141.60555
-153.669732,1001,10392.608728
-138.265633,1001,10642.859411
-128.234231,1001,10893.862396
-119.237785,1001,11144.113426
-81.705718,1001,11395.11529
-79.193253,1001,11645.389124
-88.756574,1001,11896.370869
-107.01601,1001,12146.623311
-65.759909,1001,12397.625175
-66.862244,1001,12647.875762
-100.102495,1001,12898.866467
-17.45488,1001,13149.114085
-48.019415,1001,13400.113386
-61.202671,1001,13650.364859
-90.742841,1001,13901.361904
10.871533,1001,14151.609977
24.929699,1001,14402.615526
-51.643551,1001,14652.860916
22.637323,1001,14903.860603
-19.305899,1001,15154.117449
62.002304,1001,15405.119501
