r,l,t,target_pose
-166.499136,1001,253.270392,[331.74356413 993.4747352  -14.64752559]
-150.044401,1001,506.521941,[331.40540343 987.10598649  54.5830704 ]
-152.652558,1001,759.771978,[333.18533203 985.73515321 -93.90105297]
-208.580693,1001,1013.0243,[332.85299749 993.42734025 -39.14502924]
-158.414925,1001,1266.276366,[336.13642986 985.7263209  -97.52327338]
