#{"t_start": 1743166654.5530744, "env_id": "milliAmpere1ROS_env/MilliAmpere1ROS-v3"}
r,l,t
-100.245282,1,0.807931
-599.812883,1000,252.334953
-168.688969,139,287.269799
-377.837491,561,428.991523
-164.253648,115,457.755103
-128.165995,53,471.012114
-172.37918,136,505.026909
-253.711908,288,577.79828
-466.280469,819,782.549623
-125.29811,50,795.050536
-471.000803,1001,1046.072828
-438.71807,698,1220.553273
-366.452526,552,1358.553817
-423.242682,709,1535.805006
-337.383876,509,1663.804812
-179.299071,152,1701.804331
-166.188902,130,1734.306005
-453.510918,1001,1985.174332
-195.609688,306,2064.11302
-366.618971,560,2204.991433
-435.458984,1001,2455.309475
-494.211913,954,2694.562877
-403.523845,1001,2944.813221
-395.188761,579,3090.301277
-516.857969,836,3299.315819
-231.935982,269,3366.564637
-396.101459,1001,3618.304265
-473.535502,1001,3868.568359
-460.258071,1001,4119.571265
-492.258916,778,4314.079951
-182.401525,160,4354.073075
-474.898926,1001,4604.325857
-260.884066,320,4685.123871
-464.756529,1001,4936.326923
-498.329023,1001,5187.330134
-438.895979,1001,5437.580114
-577.374142,927,5670.672166
-268.543999,381,5766.840121
-206.836825,199,5817.211863
-478.137019,1001,6068.787025
-343.465834,471,6188.004421
-328.855613,437,6297.464312
-494.328931,1001,6549.430053
-559.375941,991,6804.820282
-459.920256,1001,7055.092031
-485.858805,756,7248.592295
-467.656132,1001,7499.587339
-369.07267,550,7637.356769
-249.698314,355,7727.08307
-429.630646,1001,7977.773597
-214.412057,240,8037.879519
-397.088651,592,8186.179342
-305.293027,525,8318.434358
-439.828951,1001,8569.172515
-401.975638,1001,8820.683698
-486.178168,1001,9071.411462
-236.187398,327,9153.356111
-376.645076,1001,9404.824623
-499.062492,1001,9655.582852
-425.451939,1001,9907.362744
-457.638119,1001,10158.104686
-402.179143,1001,10409.53653
-452.619812,1001,10660.281613
-368.35585,1001,10911.794035
-437.122258,1001,11162.616282
-431.032774,1001,11414.061649
-280.139727,399,11513.978757
-475.146512,1001,11764.697103
-467.952286,1001,12016.211016
-415.778585,1001,12266.93086
-297.710887,386,12364.451698
-427.172732,1001,12615.111493
-427.96957,1001,12866.623526
-391.011778,688,13038.916616
-446.217654,1001,13289.790492
-482.639366,1001,13541.178082
-434.86573,1001,13794.9833
-356.431113,1001,14048.174933
-416.573389,1001,14298.874032
-392.524384,1001,14549.895149
-422.009346,1001,14800.146115
-439.503742,1001,15051.23278
-412.219048,1001,15301.615282
-469.915599,1001,15552.650966
-428.029648,1001,15802.904156
-419.244104,1001,16053.905033
-430.413042,1001,16304.157797
-427.457833,1001,16555.159491
-421.418204,1001,16805.412081
-441.085816,1001,17056.419693
-398.280684,1001,17306.664708
-416.37491,1001,17557.666184
-426.510596,1001,17807.918057
-251.490172,366,17899.420509
-419.561446,1001,18151.176287
-125.02342,45,18162.451722
-403.581031,1001,18412.926417
-360.028966,1001,18663.923841
-444.26164,1001,18914.176653
-401.338266,1001,19165.178237
-407.906985,1001,19415.431165
-399.892089,1001,19666.432716
-353.32237,1001,19920.349544
-418.682973,1001,20173.381556
-385.012963,1001,20423.809239
-368.600705,1001,20674.931053
-368.589918,1001,20925.188244
-390.356607,1001,21176.189647
-339.356533,623,21331.93963
-272.39322,1001,21582.192845
-409.36372,1001,21833.197507
-330.750643,1001,22083.446815
-268.856738,1001,22334.449805
-334.251499,1001,22584.699724
-307.394378,1001,22835.700821
-332.054097,1001,23085.952538
-314.071904,1001,23336.954785
-342.55226,1001,23587.219896
-286.076146,1001,23838.208882
-276.000298,1001,24088.603782
-256.347141,1001,24340.819855
-293.001142,1001,24591.535403
-289.846621,1001,24843.038012
-294.863141,1001,25093.610718
-305.910498,1001,25344.718332
-281.899386,1001,25594.970036
-276.641008,1001,25845.971745
-300.588509,1001,26096.226903
-323.743052,1001,26347.226303
-264.302173,1001,26597.479318
-220.578546,1001,26848.481915
-223.760914,1001,27098.730335
-299.107387,1001,27349.73272
-199.490115,1001,27599.985744
-276.986745,1001,27850.986857
-236.960312,1001,28101.238938
-235.885972,1001,28352.240871
-178.860316,1001,28602.491981
-214.570313,1001,28853.493885
-159.44597,1001,29103.744926
-168.288444,1001,29354.746587
-269.975529,1001,29604.998521
-132.89992,1001,29855.999488
-214.045773,1001,30106.252666
-162.056533,1001,30357.25505
-48.378078,1001,30607.506835
-202.035346,1001,30858.509758
-162.524547,1001,31108.759251
-147.90561,1001,31359.740873
-150.69011,1001,31615.45251
-97.984386,1001,31867.537745
-148.840292,1001,32119.476949
-152.779672,1001,32370.947806
-103.288582,1001,32623.993223
-185.159805,1001,32874.273055
-205.224141,1001,33125.272653
-119.52949,1001,33376.159875
-115.410771,1001,33630.127965
-116.29065,1001,33881.626429
-93.110266,1001,34133.025594
33.070152,1001,34383.281142
-85.024266,1001,34634.283726
-136.700043,1001,34886.155322
52.28534,1001,35139.833877
-35.400163,1001,35390.613622
-59.924327,1001,35642.922471
-38.782642,1001,35895.826963
49.43813,1001,36147.298242
-105.518775,1001,36398.141586
-39.043916,1001,36649.288077
-77.255029,1001,36899.550854
9.976394,1001,37150.552856
90.179095,1001,37405.491868
29.10065,1001,37657.526729
95.851853,1001,37908.292894
59.31168,1001,38159.832624
42.288676,1001,38413.479403
-85.267949,1001,38664.78936
55.741661,1001,38915.063308
-13.68563,1001,39166.064657
119.679315,1001,39419.502449
10.758177,1001,39674.557497
30.96703,1001,39925.204997
167.26228,1001,40176.716527
154.144933,1001,40427.448428
42.226049,1001,40678.920401
59.205269,1001,40932.160198
221.604861,1001,41183.579762
46.614405,1001,41437.683642
63.848206,1001,41689.136697
104.706204,1001,41939.738098
65.075141,1001,42191.172249
61.229833,1001,42441.852861
74.069582,1001,42694.339797
74.900976,1001,42947.338454
103.806395,1001,43198.615715
127.683351,1001,43449.077754
92.335721,1001,43701.622043
170.469835,1001,43955.051313
248.566357,1001,44205.790803
200.139505,1001,44457.59498
254.404861,1001,44708.262372
270.26839,1001,44959.785944
243.373257,1001,45211.609369
250.79885,1001,45465.324081
226.568119,1001,45715.616716
222.561199,1001,45967.699441
210.727451,1001,46220.460885
313.579479,1001,46471.962264
251.720183,1001,46724.702247
282.620823,1001,46976.450627
268.725273,1001,47227.187403
270.975312,1001,47479.710735
298.182613,1001,47732.876312
320.101864,1001,47984.381869
