#{"t_start": 1744456058.5821066, "env_id": "milliAmpere1ROS_env/MilliAmpere1ROS-v9"}
r,l,t
-109.974448,158,40.213107
-128.834825,315,119.083399
-81.769773,1001,369.83568
-129.717679,236,428.93016
-153.718813,536,563.736965
-118.630168,111,591.488817
-128.152598,240,651.488397
-131.664499,350,738.990273
-172.698925,794,937.490835
-124.098562,183,983.24184
-84.026855,1001,1234.242979
-145.076473,416,1338.244387
-120.843367,194,1386.745425
-122.232158,268,1453.743358
-160.790197,446,1565.959934
-113.911837,92,1588.971802
-153.681395,621,1744.245894
-173.087264,634,1902.746787
-128.59926,277,1971.997593
-109.418313,56,1985.997928
-103.403753,44,1996.99716
-113.713753,81,2017.247586
-159.972454,479,2137.747007
-115.739473,1001,2387.999857
-125.131371,244,2449.000891
-76.689249,1001,2700.00359
-127.831686,296,2774.003088
-163.023394,471,2891.754941
-139.151946,418,2996.254534
-79.864226,1001,3247.256444
-46.521089,1001,3497.506626
-157.279536,569,3640.480834
-116.902973,153,3678.758269
-109.316089,1001,3929.011994
-87.515199,1001,4180.008077
-133.577581,310,4257.514546
-107.348269,1001,4507.764664
-68.687361,1001,4758.767275
-191.364919,989,5006.019807
-187.885789,695,5180.498143
-119.292891,150,5218.021929
-180.147155,877,5437.274367
-69.476125,1001,5688.25269
-103.063417,1001,5938.525201
-127.915072,234,5997.027026
-194.651622,846,6209.278012
-111.701665,94,6232.77753
-173.082058,621,6388.029135
-86.790502,1001,6638.280886
-123.876205,211,6691.759425
-142.754711,397,6791.032556
-127.03946,220,6846.032389
-140.493636,355,6934.783219
-111.540876,1001,7185.749417
-107.06642,313,7264.035819
-158.458905,744,7450.03627
-186.399698,956,7689.03785
-124.649647,270,7757.278334
-166.087259,632,7915.288273
-121.726365,225,7971.538784
-115.479054,912,8199.541707
-107.92682,1001,8450.540387
-80.746113,1001,8700.792259
-113.016751,97,8725.740202
-70.738221,1001,8976.044856
-134.160784,241,9036.297498
-148.071008,573,9179.544946
-104.050626,26,9186.046227
-121.284774,1001,9437.047957
-111.372242,1001,9687.299545
-172.198112,648,9850.050056
-80.015673,1001,10100.301887
-84.68266,1001,10351.303075
-59.456352,1001,10601.553632
-80.713452,1001,10852.55603
-103.390366,1001,11102.808399
-73.106567,1001,11353.79705
-115.557282,245,11415.060056
-124.455218,628,11572.061458
-121.941127,243,11632.811529
-75.051854,1001,11883.813927
-116.438263,1001,12134.065944
-87.221946,1001,12385.066068
-80.059577,1001,12637.302161
-87.800228,1001,12888.319813
-75.573006,1001,13138.570668
-41.245896,1001,13389.555248
-97.347887,1001,13639.825845
-73.062452,1001,13890.807162
-61.210291,1001,14141.078856
-82.682862,1001,14392.056935
-66.125637,1001,14642.332032
-21.682007,1001,14893.309391
-35.873738,1001,15143.585738
-36.492182,1001,15394.586844
-40.801295,1001,15644.841155
-15.553845,1001,15895.093088
-139.656171,621,16051.095299
-26.391882,1001,16301.344864
-38.490643,1001,16552.346897
