#{"t_start": 1743123115.44568, "env_id": "milliAmpere1ROS_env/MilliAmpere1ROS-v1"}
r,l,t
-0.338031,1,0.574539
-61.066271,117,29.865005
-388.268044,798,229.475002
-62.863539,127,261.234298
-443.481149,1010,514.798229
-62.828483,122,545.282073
-64.46132,148,582.257194
